udi,product_id,product_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,temp_diff_k,power_watts,strain_index,rolling_mean_process_temp_15,rolling_std_process_temp_15,rolling_mean_speed_15,rolling_std_speed_15,rolling_mean_torque_15,rolling_std_torque_15,torque_slope_5,temp_slope_5
11,M14860,M,298.3105263157895,308.5105263157895,1499.7368421052631,40.026315789473685,35.526315789473685,0,0,0,0,0,0,10.199999999999989,6286.215943305937,1421.987534626039,308.40526315789475,0.06982367979690507,1502.3684210526314,1.74559199492367,39.76315789473684,0.17455919949238538,0.052631578947368494,0.021052631578947968
12,M14860,M,298.3315789473684,308.5315789473684,1499.2105263157894,40.078947368421055,36.578947368421055,0,0,0,0,0,0,10.199999999999989,6292.272864322276,1466.0457063711913,308.41578947368424,0.0759063426412924,1502.1052631578948,1.8976585660334517,39.78947368421053,0.18976585660336362,0.052631578947368494,0.021052631578947968
13,M14860,M,298.35263157894735,308.55263157894734,1498.6842105263158,40.13157894736842,37.631578947368425,0,0,0,0,0,0,10.199999999999989,6298.323983690132,1510.2146814404432,308.4263157894737,0.08198822067044863,1501.842105263158,2.0497055167625393,39.81578947368421,0.20497055167627415,0.05263157894736707,0.0210526315789366
14,M14860,M,298.37368421052633,308.5736842105263,1498.157894736842,40.18421052631579,38.68421052631579,0,0,0,0,0,0,10.199999999999989,6304.369301409505,1554.494459833795,308.43684210526317,0.08806947647720358,1501.578947368421,2.2017369119315067,39.8421052631579,0.22017369119317193,0.052631578947368494,0.021052631578947968
15,M14860,M,298.39473684210526,308.59473684210525,1497.6315789473683,40.23684210526316,39.73684210526316,0,0,0,0,0,0,10.199999999999989,6310.408817480395,1598.8850415512466,308.4473684210526,0.09415023063149446,1501.3157894736842,2.353755765788972,39.868421052631575,0.23537557657891892,0.052631578947368494,0.021052631578947968
16,M14860,M,298.41578947368424,308.61578947368423,1497.1052631578948,40.28947368421053,40.78947368421053,0,0,0,0,0,0,10.199999999999989,6316.442531902802,1643.3864265927978,308.4684210526315,0.09415023063146155,1500.7894736842104,2.35375576578884,39.921052631578945,0.23537557657891645,0.052631578947368494,0.021052631578947968
17,M14860,M,298.43684210526317,308.63684210526316,1496.578947368421,40.3421052631579,41.84210526315789,0,0,0,0,0,0,10.199999999999989,6322.470444676726,1687.9986149584486,308.4894736842105,0.09415023063141888,1500.2631578947369,2.353755765788708,39.973684210526315,0.235375576578914,0.052631578947368494,0.021052631578947968
18,M14860,M,298.4578947368421,308.6578947368421,1496.0526315789473,40.39473684210526,42.89473684210526,0,0,0,0,0,0,10.199999999999989,6328.492555802167,1732.7216066481992,308.5105263157895,0.09415023063138278,1499.7368421052631,2.35375576578855,40.026315789473685,0.2353755765789107,0.052631578947368494,0.021052631578947968
19,M14860,M,298.4789473684211,308.67894736842106,1495.5263157894738,40.44736842105263,43.94736842105263,0,0,0,0,0,0,10.199999999999989,6334.5088652791255,1777.5554016620497,308.5315789473685,0.09415023063134988,1499.2105263157896,2.3537557657883657,40.078947368421055,0.2353755765789066,0.052631578947368494,0.021052631578947968
20,M14860,M,298.5,308.7,1495.0,40.5,45.0,0,0,0,0,0,0,10.199999999999989,6340.5193731076,1822.5,308.5526315789474,0.0941502306313072,1498.6842105263158,2.3537557657881814,40.131578947368425,0.23537557657890248,0.052631578947368494,0.021052631578947968
