product_id,product_type,timestamp,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_probability_pct,anomaly_score_pct,health_score,risk_tier
H30276,H,2026-01-01 14:23:00,296.1,306.8,1645.0,31.0,41.0,0.16548838265422808,67.8967797668165,42.3,WARNING
H30281,H,2026-01-01 14:28:00,295.9,306.5,1594.0,33.2,55.0,0.15869713802618493,93.4654835730804,20.6,CRITICAL
H30301,H,2026-01-01 14:48:00,295.7,306.2,2161.0,16.5,105.0,0.44623479952471945,99.99999465438661,15.0,CRITICAL
H30313,H,2026-01-01 15:00:00,295.6,306.2,1329.0,55.3,135.0,0.24029040534716034,74.78406014750321,36.4,WARNING
H30315,H,2026-01-01 15:02:00,295.6,306.1,1256.0,62.3,142.0,0.7173024506548313,99.99999465438661,15.0,CRITICAL
H30318,H,2026-01-01 15:05:00,295.7,306.2,1458.0,49.8,151.0,0.3263263015808564,81.78873550655787,30.5,WARNING
H30335,H,2026-01-01 15:22:00,295.5,305.9,1593.0,37.2,197.0,8.659708128340547,53.14361276363201,54.8,WATCH
H30339,H,2026-01-01 15:26:00,295.6,306.1,1623.0,30.9,210.0,28.462848094798826,62.007613842358076,47.3,WARNING
H30341,H,2026-01-01 15:28:00,295.6,306.0,1396.0,52.4,0.0,1.0085957830652685,67.53640750981545,42.6,WARNING
H30365,H,2026-01-01 15:52:00,295.6,306.3,1509.0,35.8,60.0,0.11735878416329924,50.50784259653991,57.1,WATCH
H30368,H,2026-01-01 15:55:00,295.6,306.2,1414.0,42.5,69.0,0.2343729647039791,54.78861755147519,53.4,WATCH
H30370,H,2026-01-01 15:57:00,295.6,306.2,1632.0,32.2,76.0,0.18324479703629118,45.627540540139584,61.2,WATCH
H30400,H,2026-01-01 16:27:00,296.4,307.1,1638.0,32.5,146.0,3.153934476227671,49.764501823410825,57.7,WATCH
H30402,H,2026-01-01 16:29:00,296.3,307.1,1774.0,25.9,154.0,1.035367607787989,67.14352418904367,42.9,WARNING
H30418,H,2026-01-01 16:45:00,296.3,307.2,1424.0,42.0,196.0,2.305245852307113,39.824974685921866,66.1,WATCH
H30447,H,2026-01-01 17:14:00,296.4,307.5,1556.0,38.0,62.0,0.44489620581119793,16.603030842536405,85.9,NORMAL
H30451,H,2026-01-01 17:18:00,296.4,307.5,1596.0,35.1,75.0,0.3662267907063753,42.626972327057544,63.8,WATCH
H30459,H,2026-01-01 17:26:00,296.4,307.5,1403.0,52.8,94.0,2.7492299949708214,36.69662818627199,68.8,WATCH
H30468,H,2026-01-01 17:35:00,296.8,307.8,1627.0,30.5,117.0,0.6522542956420935,23.12866613412325,80.3,NORMAL
H30474,H,2026-01-01 17:41:00,296.7,307.9,1424.0,53.8,133.0,0.46271233723380495,46.4788243165566,60.5,WATCH
H30489,H,2026-01-01 17:56:00,296.9,307.8,1345.0,54.5,172.0,0.4145574277337169,43.596886227104505,62.9,WATCH
H30492,H,2026-01-01 17:59:00,296.9,307.7,1656.0,30.8,181.0,1.2039769244027279,20.95161534129339,82.2,NORMAL
H30496,H,2026-01-01 18:03:00,297.1,307.9,1420.0,39.8,192.0,2.8721830222292173,24.766988788303287,78.9,NORMAL
H30501,H,2026-01-01 18:08:00,296.9,307.8,1549.0,35.8,206.0,80.86238087598544,19.835033776977397,19.1,CRITICAL
H30511,H,2026-01-01 18:18:00,296.9,307.5,1397.0,48.3,22.0,0.8926783209354685,51.01594352862977,56.6,WATCH
H30514,H,2026-01-01 18:21:00,296.8,307.5,1695.0,30.0,33.0,0.1944932987715234,62.79050715531616,46.6,WARNING
H30515,H,2026-01-01 18:22:00,296.7,307.5,1607.0,33.6,38.0,0.2387203493817596,50.959162614569166,56.7,WATCH
H30525,H,2026-01-01 18:32:00,296.5,307.4,1432.0,49.2,64.0,0.7649700736876399,35.30539195557921,70.0,WATCH
H30528,H,2026-01-01 18:35:00,296.4,307.3,1540.0,37.4,75.0,0.24484018444708003,22.434472458893577,80.9,NORMAL
H30534,H,2026-01-01 18:41:00,296.6,307.7,1654.0,31.0,91.0,0.8941156457799819,38.677864197431376,67.1,WATCH
H30537,H,2026-01-01 18:44:00,296.6,307.7,1386.0,62.3,100.0,98.49974775003868,60.117911675226296,1.5,CRITICAL
H30567,H,2026-01-01 19:14:00,297.0,307.9,1448.0,45.6,172.0,0.649340894282345,34.66255115437306,70.5,WATCH
H30569,H,2026-01-01 19:16:00,297.0,307.9,1846.0,27.3,179.0,0.31615897312918395,43.27634633675674,63.2,WATCH
H30570,H,2026-01-01 19:17:00,297.0,307.8,1404.0,40.7,184.0,1.6420373327738096,19.850867439048354,83.1,NORMAL
H30574,H,2026-01-01 19:21:00,297.0,307.7,1834.0,23.8,195.0,1.038784352731122,46.53990919489591,60.4,WATCH
H30585,H,2026-01-01 19:32:00,297.0,308.1,1517.0,41.4,222.0,17.1607984336401,33.63641141906673,71.4,WATCH
H30587,H,2026-01-01 19:34:00,297.1,308.0,1559.0,38.8,229.0,55.933045534111145,30.02670176912253,44.1,WARNING
H30594,H,2026-01-01 19:41:00,297.3,308.4,1531.0,35.6,16.0,0.24366674518270054,22.58337703679828,80.8,NORMAL
H30612,H,2026-01-01 19:59:00,296.9,307.9,1557.0,36.5,63.0,0.06932500306060907,52.36877344853327,55.5,WATCH
H30617,H,2026-01-01 20:04:00,297.0,308.1,1410.0,47.6,79.0,4.005820342171458,24.673883554510056,79.0,NORMAL
H30620,H,2026-01-01 20:07:00,296.9,308.0,1318.0,53.5,88.0,0.05257299383990655,40.39142274102245,65.7,WATCH
H30623,H,2026-01-01 20:10:00,297.0,308.1,2540.0,13.3,98.0,2.1286767557949178,86.65711137331465,26.3,WARNING
H30625,H,2026-01-01 20:12:00,296.9,308.0,1416.0,46.9,105.0,2.9700062468687163,28.362914783554512,75.9,NORMAL
H30639,H,2026-01-01 20:26:00,297.1,308.3,1492.0,41.5,141.0,0.5472995028702671,18.915482154376033,83.9,NORMAL
H30648,H,2026-01-01 20:35:00,297.2,308.5,2440.0,14.0,166.0,0.4671113446468017,99.99999465438661,15.0,CRITICAL
H30649,H,2026-01-01 20:36:00,297.1,308.4,1654.0,31.4,171.0,0.8124786008336352,29.14447377749082,75.2,NORMAL
H30650,H,2026-01-01 20:37:00,297.1,308.4,1359.0,46.6,176.0,0.14403861565654347,31.312144098078516,73.4,WATCH
H30653,H,2026-01-01 20:40:00,297.2,308.5,1482.0,39.3,187.0,0.29887448423837293,31.73365707407462,73.0,WATCH
H30660,H,2026-01-01 20:47:00,297.2,308.5,1653.0,33.3,207.0,14.172085085580038,35.80281440209326,69.6,WATCH
H30668,H,2026-01-01 20:55:00,297.5,308.8,1430.0,49.4,2.0,2.3257771049150597,31.929960680318516,72.9,WATCH
H30669,H,2026-01-01 20:56:00,297.5,308.9,1419.0,50.7,7.0,1.0639981839268347,36.88591748503131,68.6,WATCH
H30675,H,2026-01-01 21:02:00,297.6,309.0,1885.0,25.2,24.0,0.2395869969595551,45.22053167419217,61.6,WATCH
H30676,H,2026-01-01 21:03:00,297.8,309.2,1648.0,33.0,29.0,0.4492827048688455,29.020329678901163,75.3,NORMAL
H30685,H,2026-01-01 21:12:00,298.0,309.4,1490.0,40.5,53.0,0.4335985351633322,48.92077415854633,58.4,WATCH
H30686,H,2026-01-01 21:13:00,298.0,309.4,1562.0,38.1,58.0,0.6168093451582257,47.664856830312644,59.5,WATCH
H30688,H,2026-01-01 21:15:00,298.1,309.5,1530.0,40.2,65.0,0.48663350634068747,23.443657642477227,80.1,NORMAL
H30694,H,2026-01-01 21:21:00,298.3,309.5,1521.0,37.1,84.0,0.8059033616112574,13.191581840030201,88.8,NORMAL
H30695,H,2026-01-01 21:22:00,298.3,309.5,1427.0,54.3,89.0,4.761236962455221,38.52032530794801,67.3,WATCH
H30707,H,2026-01-01 21:34:00,298.7,309.8,1582.0,33.4,121.0,0.5766222883228166,12.136730082322261,89.7,NORMAL
H30736,H,2026-01-01 22:03:00,298.9,310.1,1452.0,49.9,187.0,0.6063017523420438,27.656952357624515,76.5,NORMAL
H30739,H,2026-01-01 22:06:00,298.8,310.1,1567.0,36.8,197.0,1.0896112520544434,28.089476538361485,76.1,NORMAL
H30743,H,2026-01-01 22:10:00,298.8,310.2,1663.0,30.4,209.0,23.7753964461763,56.92423339972604,51.6,WATCH
H30745,H,2026-01-01 22:12:00,298.9,310.2,1771.0,26.8,216.0,33.30792611248285,39.797050695919424,66.2,WATCH
H30751,H,2026-01-01 22:18:00,298.7,310.2,1613.0,36.0,0.0,0.15103706769870917,35.09797886523833,70.2,WATCH
H30774,H,2026-01-01 22:41:00,298.8,310.2,1707.0,27.6,56.0,0.5198839899268936,21.159366565503746,82.0,NORMAL
H30782,H,2026-01-01 22:49:00,298.8,310.3,1708.0,27.1,78.0,0.22981606818048111,28.487536685393263,75.8,NORMAL
H30792,H,2026-01-01 22:59:00,298.8,310.2,1455.0,44.9,107.0,0.7248119876147461,8.924169263718584,92.4,NORMAL
H30802,H,2026-01-01 23:09:00,298.9,310.1,1491.0,45.3,133.0,0.5918754564125177,10.921366618829198,90.7,NORMAL
H30814,H,2026-01-01 23:21:00,298.9,310.1,1366.0,62.7,161.0,1.3587570393004413,75.51938161202474,35.8,WARNING
H30815,H,2026-01-01 23:22:00,298.9,310.2,1532.0,37.7,166.0,0.9004109528080508,25.390519735286475,78.4,NORMAL
H30849,H,2026-01-01 23:56:00,298.8,309.9,1526.0,42.1,30.0,0.4559739884516351,22.929807061866693,80.5,NORMAL
H30850,H,2026-01-01 23:57:00,298.8,309.8,1510.0,44.2,35.0,0.6518643588705995,32.79505993272366,72.1,WATCH
H30851,H,2026-01-01 23:58:00,298.8,309.9,1439.0,45.2,40.0,70.98354546496358,34.44661215207412,29.0,WARNING
H30863,H,2026-01-02 00:10:00,299.0,310.4,1677.0,30.8,73.0,2.153930504550136,58.810841192315756,50.0,WATCH
H30909,H,2026-01-02 00:56:00,297.9,308.5,1383.0,44.6,184.0,0.8819896041625033,48.153007505647786,59.1,WATCH
H30926,H,2026-01-02 01:13:00,298.0,308.7,1503.0,36.3,5.0,0.17998918805046532,44.966737995187714,61.8,WATCH
H30932,H,2026-01-02 01:19:00,298.2,309.0,1371.0,55.7,23.0,1.1208771217916778,40.904260265178905,65.2,WATCH
H30936,H,2026-01-02 01:23:00,298.2,309.0,1562.0,37.7,36.0,1.8904594571275488,20.524939195163075,82.6,NORMAL
H30941,H,2026-01-02 01:28:00,298.1,309.1,1425.0,44.5,49.0,1.7684862915639314,14.334318270876262,87.8,NORMAL
H30945,H,2026-01-02 01:32:00,298.1,309.0,1438.0,41.4,60.0,1.6492287081985788,19.66852705920589,83.3,NORMAL
H30970,H,2026-01-02 01:57:00,298.4,308.5,1398.0,47.1,122.0,0.9247185129866187,17.531960918325147,85.1,NORMAL
H30996,H,2026-01-02 02:23:00,298.1,308.3,1530.0,42.0,184.0,1.0140248099051012,6.375135955853073,94.6,NORMAL
H31016,H,2026-01-02 02:43:00,297.8,307.9,1600.0,33.5,13.0,0.19356902586584787,38.34654721015758,67.4,WATCH
H31030,H,2026-01-02 02:57:00,297.8,307.8,1662.0,30.7,48.0,0.399779944637934,16.79377379584627,85.7,NORMAL
H31036,H,2026-01-02 03:03:00,297.7,307.6,1538.0,38.3,63.0,0.3041671379987427,17.918883168753364,84.8,NORMAL
H31048,H,2026-01-02 03:15:00,297.9,307.9,1406.0,58.5,93.0,13.91393750015787,49.25822354402813,58.1,WATCH
H31056,H,2026-01-02 03:23:00,298.0,307.8,1588.0,35.4,114.0,1.8185536314075341,24.509468675276633,79.2,NORMAL
H31063,H,2026-01-02 03:30:00,298.0,307.9,1482.0,37.8,132.0,0.8871580639776807,15.343759115119793,87.0,NORMAL
H31066,H,2026-01-02 03:33:00,297.9,307.8,1635.0,34.0,142.0,1.686947052915792,18.252843728559913,84.5,NORMAL
H31072,H,2026-01-02 03:39:00,298.1,308.0,1570.0,35.3,159.0,0.39730284627076623,23.852380399577868,79.7,NORMAL
H31076,H,2026-01-02 03:43:00,298.2,307.9,1462.0,45.5,171.0,1.490197814038399,20.50413515666648,82.6,NORMAL
H31079,H,2026-01-02 03:46:00,298.2,307.9,1491.0,39.7,181.0,0.6265774671234717,9.543063302954732,91.9,NORMAL
H31090,H,2026-01-02 03:57:00,297.9,307.6,1418.0,43.0,207.0,29.640367467280456,46.39096555575849,60.6,WATCH
H31096,H,2026-01-02 04:03:00,297.9,307.4,1604.0,36.1,225.0,90.32759888554048,51.88452827062744,9.7,CRITICAL
H31100,H,2026-01-02 04:07:00,297.9,307.3,1663.0,28.7,7.0,0.5918954786939434,49.471105804165916,57.9,WATCH
H31107,H,2026-01-02 04:14:00,298.0,307.5,1683.0,27.8,26.0,0.4416594467769873,55.700740559255635,52.7,WATCH
H31146,H,2026-01-02 04:53:00,298.4,307.9,1700.0,28.2,120.0,0.776824722412542,40.49477185641398,65.6,WATCH
H31152,H,2026-01-02 04:59:00,298.4,307.9,1948.0,21.4,136.0,0.6820029078928592,41.57723667963075,64.7,WATCH
H31153,H,2026-01-02 05:00:00,298.5,307.9,1260.0,54.2,141.0,0.07801659866205868,33.27589747537258,71.7,WATCH
H31162,H,2026-01-02 05:09:00,298.4,307.7,1626.0,31.1,166.0,0.5099842522708954,51.24767588511288,56.4,WATCH
H31173,H,2026-01-02 05:20:00,298.0,307.4,1606.0,35.2,195.0,3.4829964299358958,64.2301512425251,45.4,WARNING
H31176,H,2026-01-02 05:23:00,298.2,307.6,1460.0,48.6,204.0,14.916163573003855,51.06375565688731,56.6,WATCH
H31178,H,2026-01-02 05:25:00,298.2,307.6,1318.0,55.7,0.0,0.271058689489445,64.43763159934024,45.2,WARNING
H31184,H,2026-01-02 05:31:00,298.4,307.9,1605.0,31.0,18.0,0.573651123616776,58.31730176974936,50.4,WATCH
H31191,H,2026-01-02 05:38:00,298.6,308.2,1555.0,36.8,36.0,0.6276905617648791,24.80311531836659,78.9,NORMAL
H31197,H,2026-01-02 05:44:00,298.3,308.0,1553.0,41.0,52.0,0.17918850443682188,9.276438485802045,92.1,NORMAL
H31210,H,2026-01-02 05:57:00,298.1,307.6,1542.0,37.1,84.0,0.5353718664337657,56.82939131316487,51.7,WATCH
H31216,H,2026-01-02 06:03:00,298.1,307.6,1496.0,44.1,104.0,0.5606480569343089,16.997439588539276,85.6,NORMAL
