udi,product_id,product_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,timestamp,temp_diff_k,power_watts,strain_index,rolling_mean_process_temp_15,rolling_std_process_temp_15,rolling_mean_speed_15,rolling_std_speed_15,rolling_mean_torque_15,rolling_std_torque_15,torque_slope_5,temp_slope_5,anomaly_score_pct,is_anomaly,failure_probability_pct,predicted_failure,health_score,risk_tier
21,H29434,H,298.9,309.3,1375.0,42.7,58.0,0,0,0,0,0,0,2026-01-01 00:21:00,10.400000000000034,6148.3586224630235,2476.6000000000004,309.05333333333334,0.24162150645372152,1559.3333333333333,208.68454206106912,38.559999999999995,10.640206764908287,-1.1399999999999992,0.02000000000000455,40.210508325002756,0,0.016645459038820084,0,65.8,WATCH
22,L47201,L,298.8,309.3,1450.0,44.8,63.0,0,0,0,0,0,0,2026-01-01 00:22:00,10.5,6802.595292573099,2822.3999999999996,309.1,0.21380899352997337,1552.1333333333334,210.58824640470692,38.720000000000006,10.719821427084105,-0.3600000000000009,0.02000000000000455,21.635532921747817,0,1.0803758952942932,0,81.6,NORMAL
23,M14882,M,298.9,309.3,1581.0,30.7,65.0,0,0,0,0,0,0,2026-01-01 00:23:00,10.400000000000034,5082.7513383163905,1995.5,309.14666666666665,0.1684664725723395,1555.7333333333333,210.58946747053577,38.086666666666666,10.90516697105857,-2.9800000000000004,0.02000000000000455,20.500940336521587,0,1.0498705728387336,0,82.6,NORMAL
24,L47203,L,299.0,309.4,1758.0,25.7,68.0,0,0,0,0,0,0,2026-01-01 00:24:00,10.399999999999977,4731.3013681593,1747.6,309.1933333333333,0.12798809468448002,1561.8,215.28227317375016,37.89333333333333,11.109163956370608,-5.76,0.039999999999997725,36.68142641026329,0,0.7804630158219248,0,68.8,WATCH
25,M14884,M,299.0,309.4,1561.0,37.3,70.0,0,0,0,0,0,0,2026-01-01 00:25:00,10.399999999999977,6097.339157768725,2611.0,309.21999999999997,0.12649110640677852,1549.8,209.5195865375292,38.51333333333333,10.771978639485127,0.9599999999999994,0.01999999999999318,5.593374874420061,0,0.5434459381106373,0,95.2,NORMAL
26,L47205,L,299.0,309.5,1861.0,23.3,73.0,0,0,0,0,0,0,2026-01-01 00:26:00,10.5,4540.784717670103,1700.9,309.26,0.11212238211632743,1555.0666666666666,216.645024560147,38.473333333333336,10.831070826012324,-3.8800000000000003,0.039999999999997725,37.04903137707996,0,0.5686268366188185,0,68.5,WATCH
27,L47206,L,299.1,309.5,1512.0,39.0,75.0,0,0,0,0,0,0,2026-01-01 00:27:00,10.399999999999977,6175.114519896098,2925.0,309.28666666666663,0.1187233679409879,1561.0,213.9719607799116,38.120000000000005,10.713222804419916,-1.1599999999999995,0.039999999999997725,9.73261130322946,0,0.5840624191465543,0,91.7,NORMAL
28,H29441,H,299.1,309.4,1811.0,24.6,77.0,0,0,0,0,0,0,2026-01-01 00:28:00,10.299999999999955,4665.327922433915,1894.2,309.3066666666667,0.10997835284842768,1592.4666666666667,213.6986752638486,36.35333333333334,10.604302810427388,-1.2199999999999995,0.01999999999999318,25.472421262771146,0,0.515299591706684,0,78.3,NORMAL
29,L47208,L,299.1,309.4,1439.0,44.2,82.0,0,0,0,0,0,0,2026-01-01 00:29:00,10.299999999999955,6660.574360679816,3624.4,309.31999999999994,0.10823255385650495,1572.2666666666667,212.87335828296293,37.3,10.630414586727762,3.7000000000000006,0.0,10.235687082478536,0,2.1064532346877987,0,91.3,NORMAL
30,L47209,L,299.0,309.4,1693.0,30.1,84.0,0,0,0,0,0,0,2026-01-01 00:30:00,10.399999999999977,5336.445417069278,2528.4,309.3333333333333,0.10465362369453005,1549.4666666666667,174.6563428428471,38.0,9.685335011537513,-1.439999999999999,0.0,7.048250212760827,0,0.6427843629892572,0,94.0,NORMAL
31,M14890,M,299.1,309.5,1339.0,48.2,86.0,0,0,0,0,0,0,2026-01-01 00:31:00,10.399999999999977,6758.592051471818,4145.2,309.35333333333335,0.10600988273794029,1535.9333333333334,182.94435792130392,37.98666666666667,9.670120893517213,4.98,0.0,19.36072781792688,0,0.07672467375777048,0,83.5,NORMAL
32,L47211,L,299.0,309.4,1798.0,25.5,89.0,0,0,0,0,0,0,2026-01-01 00:32:00,10.399999999999977,4801.296052481282,2269.5,309.3666666666667,0.09759000729493966,1568.4,183.3874898366065,36.580000000000005,9.860469417976876,-2.7,-0.02000000000000455,18.338316697513275,0,0.30644560606976134,0,84.4,NORMAL
33,L47212,L,299.0,309.4,1419.0,48.3,91.0,0,0,0,0,0,0,2026-01-01 00:33:00,10.399999999999977,7177.251160464705,4395.3,309.38,0.08618916073722831,1569.0,182.84614922309498,36.76,10.059522851507426,4.739999999999999,0.0,24.709168637646258,0,2.842588218310849,0,79.0,NORMAL
34,L47213,L,298.9,309.3,1665.0,32.5,93.0,0,0,0,0,0,0,2026-01-01 00:34:00,10.400000000000034,5666.647748912589,3022.5,309.38666666666666,0.07432233529582903,1592.9333333333334,168.92790798218667,35.29333333333333,8.815122287999246,-2.3400000000000007,-0.01999999999999318,16.506618137508333,0,0.17829612843385276,0,86.0,NORMAL
35,M14894,M,298.8,309.1,1559.0,34.7,95.0,0,0,0,0,0,0,2026-01-01 00:35:00,10.300000000000011,5665.056008634771,3296.5000000000005,309.37333333333333,0.10327955589893134,1588.0666666666666,168.77350277248874,35.440000000000005,8.783572328907127,0.9200000000000003,-0.05999999999999091,18.507027255168857,0,0.17336954848335828,0,84.3,NORMAL
36,M14895,M,298.8,309.2,1452.0,48.6,98.0,0,0,0,0,0,0,2026-01-01 00:36:00,10.399999999999977,7389.7799034800555,4762.8,309.3666666666667,0.11126972805289828,1593.2,162.89882925125212,35.833333333333336,9.251537838702951,0.07999999999999971,-0.060000000000002274,20.50785692331037,0,0.6259456167555667,0,82.6,NORMAL
37,M14896,M,298.9,309.2,1581.0,36.7,101.0,0,0,0,0,0,0,2026-01-01 00:37:00,10.300000000000011,6076.122935381484,3706.7000000000003,309.35999999999996,0.1183215956620483,1601.9333333333334,158.11454557949293,35.29333333333334,8.921280070440465,2.2400000000000007,-0.039999999999997725,18.971591720296466,0,0.21169236964922,0,83.9,NORMAL
38,L47217,L,298.8,309.1,1439.0,39.2,104.0,0,0,0,0,0,0,2026-01-01 00:38:00,10.300000000000011,5907.115722593864,4076.8,309.34666666666664,0.13557637102741205,1592.4666666666667,163.61272508434007,35.86,8.878529479271094,-1.819999999999999,-0.05999999999999091,20.819489803993964,0,0.6745704266321407,0,82.3,NORMAL
39,H29452,H,298.9,309.2,1379.0,50.7,106.0,0,0,0,0,0,0,2026-01-01 00:39:00,10.300000000000011,7321.51309511755,5374.200000000001,309.3333333333333,0.13972762620118315,1567.2,165.47731825583494,37.52666666666667,9.176559164264033,3.6400000000000006,-0.02000000000000455,14.945169953292023,0,0.15891226308205483,0,87.3,NORMAL
40,L47219,L,298.8,309.1,1350.0,52.5,111.0,0,0,0,0,0,0,2026-01-01 00:40:00,10.300000000000011,7422.0126441058865,5827.5,309.3133333333334,0.15055453054183265,1553.1333333333334,174.75037979385127,38.54,9.955888422723227,3.5599999999999996,0.0,12.396449762788912,0,0.12497071350065841,0,89.5,NORMAL
41,L47220,L,298.8,309.1,1362.0,45.4,113.0,0,0,0,0,0,0,2026-01-01 00:41:00,10.300000000000011,6475.325113873137,5130.2,309.2866666666667,0.15055453054182222,1519.8666666666666,158.71756886578967,40.013333333333335,9.1414180415034,-0.6400000000000006,-0.01999999999999318,4.9088628284595055,0,0.056351873436209114,0,95.8,NORMAL
42,L47221,L,298.8,309.1,1368.0,50.8,115.0,0,0,0,0,0,0,2026-01-01 00:42:00,10.300000000000011,7277.436550187683,5842.0,309.26000000000005,0.14540583599999357,1510.2666666666667,163.50992397434248,40.8,9.5467271878901,2.819999999999999,-0.01999999999999318,10.158234701299955,0,0.13244662851903027,0,91.4,NORMAL
43,M14902,M,298.8,309.1,1368.0,49.1,117.0,0,0,0,0,0,0,2026-01-01 00:43:00,10.300000000000011,7033.900287681403,5744.7,309.23999999999995,0.14540583599999357,1480.7333333333333,144.17571950657333,42.43333333333333,8.628827653086288,1.9799999999999998,0.0,14.598796770012784,0,0.12402505537645853,0,87.6,NORMAL
44,H29457,H,298.8,309.2,1372.0,48.5,120.0,0,0,0,0,0,0,2026-01-01 00:44:00,10.399999999999977,6968.261945172401,5820.0,309.2266666666667,0.1387014608362011,1476.2666666666667,146.5788265096716,42.72,8.76210998724459,-0.44000000000000056,0.0,17.607360860118703,0,0.12806933142360563,0,85.0,NORMAL
45,M14904,M,298.8,309.1,1472.0,47.5,125.0,0,0,0,0,0,0,2026-01-01 00:45:00,10.300000000000011,7322.00527796661,5937.5,309.20666666666665,0.13345232785352726,1461.5333333333333,133.78653929016218,43.88,8.098694780201134,-1.0,0.0,23.76348743190056,0,0.651449861328404,0,79.8,NORMAL
46,L47225,L,298.8,309.1,1489.0,49.1,128.0,0,0,0,0,0,0,2026-01-01 00:46:00,10.300000000000011,7656.050824822813,6284.8,309.18,0.10823255385643195,1471.5333333333333,129.51109531435455,43.940000000000005,8.136232894545588,0.7400000000000005,0.0,17.891496908507985,0,0.48676819980197733,0,84.8,NORMAL
47,M14906,M,298.7,309.0,1843.0,25.8,130.0,0,0,0,0,0,0,2026-01-01 00:47:00,10.300000000000011,4979.36152408675,3354.0,309.15333333333336,0.09904304018718763,1474.5333333333333,137.86528966798753,43.96,8.0878921852359,-4.999999999999999,-0.02000000000000455,43.89725410005431,0,0.20320141166415684,0,62.7,WATCH
48,L47227,L,298.8,309.1,1418.0,46.3,133.0,0,0,0,0,0,0,2026-01-01 00:48:00,10.300000000000011,6875.207970773071,6157.9,309.1333333333333,0.07237468644553359,1474.4666666666667,137.89430044508043,43.82666666666667,8.02749442022021,-0.5600000000000008,0.0,19.550666578899783,0,1.9803484947235477,0,83.4,NORMAL
49,H29462,H,298.8,309.2,1425.0,53.9,135.0,0,0,0,0,0,0,2026-01-01 00:49:00,10.399999999999977,8043.2625913532665,7276.5,309.1266666666667,0.059361683970405345,1458.4666666666667,127.75862658414374,45.25333333333334,7.768146190571796,1.0799999999999996,0.0,40.04224838604172,0,1.119352584469362,0,66.0,WATCH
50,M14909,M,298.9,309.2,1412.0,44.1,140.0,0,0,0,0,0,0,2026-01-01 00:50:00,10.300000000000011,6520.815375497119,6174.0,309.1333333333333,0.06172133998478433,1448.6666666666667,125.10662119435038,45.88,7.215479392053082,-0.6799999999999997,0.01999999999999318,44.632449720243734,0,1.594137033983949,0,62.1,WATCH
51,L47230,L,298.9,309.1,2861.0,4.6,143.0,1,0,0,1,0,0,2026-01-01 00:51:00,10.200000000000045,1378.1748092277942,657.8,309.12666666666667,0.059361683970405345,1542.6,385.58356515065026,42.94666666666667,12.807523830415724,-8.9,0.0,99.99999465438661,1,98.97376889091908,1,1.0,CRITICAL
52,L47231,L,298.9,309.1,1383.0,54.9,145.0,0,0,0,0,0,0,2026-01-01 00:52:00,10.200000000000045,7951.025431043872,7960.5,309.12,0.056061191058067394,1529.4,387.5591752051734,44.16,13.03357203532477,5.819999999999999,0.02000000000000455,69.5498547824667,0,1.139425302299502,0,40.9,WARNING
53,H29466,H,298.8,309.0,1497.0,43.8,147.0,0,0,0,0,0,0,2026-01-01 00:53:00,10.199999999999989,6866.327735538923,6438.599999999999,309.11333333333334,0.06399404734215068,1533.2666666666667,386.88157410369445,44.46666666666667,12.962454940914471,-0.5,-0.02000000000000455,40.699080456044676,0,0.293271586569228,0,65.4,WATCH
54,L47233,L,298.7,309.0,1565.0,35.1,152.0,0,0,0,0,0,0,2026-01-01 00:54:00,10.300000000000011,5752.41322835559,5335.2,309.1,0.06546536707072577,1545.6666666666667,384.5577546567833,43.42666666666666,13.052118966811843,-3.7599999999999993,-0.039999999999997725,47.56103775133611,0,0.5136468448301703,0,59.6,WATCH
55,L47234,L,298.7,309.0,1691.0,30.1,154.0,0,0,0,0,0,0,2026-01-01 00:55:00,10.300000000000011,5330.141287811076,4635.400000000001,309.0933333333333,0.07037315505482972,1568.4,382.2368002018794,41.93333333333333,13.220204594627479,-2.8,-0.039999999999997725,44.015699844944876,0,1.185758058378823,0,62.6,WATCH
56,L47235,L,298.8,309.1,1512.0,40.7,156.0,0,0,0,0,0,0,2026-01-01 00:56:00,10.300000000000011,6444.286178455672,6349.200000000001,309.09333333333336,0.07037315505482972,1578.4,378.39412559620206,41.62,13.187829887546211,7.220000000000001,0.0,48.7045169424493,0,0.2581272579703561,0,58.6,WATCH
57,L47236,L,298.8,309.1,1477.0,42.4,158.0,0,0,0,0,0,0,2026-01-01 00:57:00,10.300000000000011,6558.053720417668,6699.2,309.0933333333333,0.07037315505482972,1585.6666666666667,375.0972572293117,41.06000000000001,12.946306698933759,-2.5,0.0,35.22180415547642,0,0.8645444023064988,0,70.1,WATCH
58,L47237,L,298.8,309.1,1513.0,40.3,160.0,0,0,0,0,0,0,2026-01-01 00:58:00,10.300000000000011,6385.171876690622,6448.0,309.09333333333336,0.07037315505482972,1595.3333333333333,370.9323516812865,40.473333333333336,12.75390509758071,-0.7,0.02000000000000455,32.95909031107621,0,0.8171349851810548,0,72.0,WATCH
59,M14918,M,298.8,309.0,1661.0,29.5,162.0,0,0,0,0,0,0,2026-01-01 00:59:00,10.199999999999989,5131.215640985769,4779.0,309.08,0.06761234037819956,1614.6,365.97595549434675,39.20666666666667,12.842978441081932,-1.1200000000000003,0.0,46.27208074892669,0,3.669916350324006,0,60.7,WATCH
60,L47239,L,298.8,309.1,1378.0,54.4,165.0,0,0,0,0,0,0,2026-01-01 01:00:00,10.300000000000011,7850.127946986078,8976.0,309.08000000000004,0.06761234037819956,1608.3333333333333,369.3810782273248,39.666666666666664,13.277460313665125,4.859999999999999,0.02000000000000455,70.06339585671586,0,0.8098941709238323,0,40.4,WARNING
61,L47240,L,298.8,309.1,1393.0,52.6,167.0,0,0,0,0,0,0,2026-01-01 01:01:00,10.300000000000011,7673.004953176688,8784.2,309.08,0.06761234037819956,1601.9333333333334,372.4155640960142,39.9,13.484223585890502,2.38,0.0,53.72368664401047,0,1.6388746909772711,0,54.3,WATCH
62,M14921,M,298.8,309.0,1592.0,38.2,169.0,0,0,0,0,0,0,2026-01-01 01:02:00,10.199999999999989,6368.469075749038,6455.8,309.08,0.06761234037819956,1585.2,366.400678414843,40.726666666666674,12.926631793464585,-0.8399999999999992,-0.02000000000000455,29.810256836820866,0,0.7775244192339273,0,74.7,WATCH
63,L47242,L,298.8,309.0,1829.0,22.9,172.0,0,0,0,0,0,0,2026-01-01 01:03:00,10.199999999999989,4386.092695407342,3938.7999999999997,309.0733333333334,0.0703731550548142,1612.6,368.3664324710229,39.166666666666664,13.600402655103723,-3.4799999999999995,-0.02000000000000455,56.99405429734114,0,1.239369677162936,0,51.6,WATCH
64,M14923,M,298.9,309.0,1812.0,25.9,174.0,0,0,0,0,0,0,2026-01-01 01:04:00,10.100000000000023,4914.581883569729,4506.599999999999,309.06,0.06324555320325834,1638.4,367.8407652387493,37.3,13.353062784031456,-0.7200000000000003,0.0,61.872491694187445,0,1.5713536742865482,0,47.4,WARNING
65,L47244,L,299.0,309.1,1523.0,38.6,177.0,0,0,0,0,0,0,2026-01-01 01:05:00,10.100000000000023,6156.244020023535,6832.2,309.05333333333334,0.05163977794929529,1645.8,364.057923177853,36.93333333333333,13.227928607234597,-3.1599999999999993,0.0,56.95676871009474,0,1.1032134641990683,0,51.6,WATCH
66,L47245,L,299.0,309.1,1394.0,45.1,179.0,0,0,0,0,0,0,2026-01-01 01:06:00,10.100000000000023,6583.668172519938,8072.900000000001,309.0533333333334,0.05163977794929529,1548.0,146.08070176642585,39.63333333333333,9.861879469283059,-1.5,0.0,13.999612180755044,0,2.2707633135101766,0,88.1,NORMAL
67,M14926,M,298.9,308.9,1679.0,28.7,181.0,0,0,0,0,0,0,2026-01-01 01:07:00,10.0,5046.162255877581,5194.7,309.04,0.06324555320324902,1567.7333333333333,142.13899970836746,37.88666666666666,9.267058915987375,-1.9000000000000008,-0.02000000000000455,13.491313135882905,0,1.4482686359008914,0,88.5,NORMAL
68,H29481,H,298.8,308.9,1466.0,44.1,184.0,0,0,0,0,0,0,2026-01-01 01:08:00,10.099999999999966,6770.195000339076,8114.400000000001,309.03333333333336,0.07237468644547017,1565.6666666666667,143.46013217549176,37.906666666666666,9.281045712839134,4.24,-0.02000000000000455,10.725053674088478,0,0.4407455855143578,0,90.9,NORMAL
69,L47248,L,298.8,308.9,1527.0,32.4,189.0,0,0,0,0,0,0,2026-01-01 01:09:00,10.099999999999966,5180.988940594142,6123.599999999999,309.0266666666667,0.07988086367170476,1563.1333333333334,143.80784136511917,37.72666666666667,9.36516849567487,1.3,-0.02000000000000455,2.8668195965081007,0,1.5733647059954843,0,97.6,NORMAL
70,L47249,L,298.9,309.0,1410.0,65.7,191.0,1,0,0,1,1,0,2026-01-01 01:10:00,10.100000000000023,9700.923955019924,12548.7,309.0266666666667,0.07988086367170476,1544.4,144.26305338314657,40.1,11.550324670761425,5.42,-0.02000000000000455,64.09155786065499,0,99.56588852424207,1,0.4,CRITICAL
71,M14930,M,298.9,309.0,1924.0,22.6,193.0,0,0,0,0,0,0,2026-01-01 01:11:00,10.100000000000023,4553.4662800150945,4361.8,309.02000000000004,0.07745966692404832,1571.8666666666666,173.84223827805442,38.89333333333334,12.397549681095784,-4.5,-0.02000000000000455,43.29144201150773,0,2.111381870968767,0,63.2,WATCH
72,L47251,L,298.9,309.1,1452.0,45.5,196.0,0,0,0,0,0,0,2026-01-01 01:12:00,10.200000000000045,6918.415341735443,8918.0,309.02000000000004,0.07745966692404832,1570.2,174.93313008118287,39.1,12.485706113106186,3.3600000000000003,0.0400000000000091,27.8528114080082,0,0.5481529106393382,0,76.3,NORMAL
73,L47252,L,298.9,309.1,1369.0,44.4,198.0,0,0,0,0,0,0,2026-01-01 01:13:00,10.200000000000045,6365.243707291352,8791.199999999999,309.02000000000004,0.07745966692404832,1560.6,182.10075703929886,39.373333333333335,12.558518262612871,0.05999999999999943,0.0400000000000091,27.004839640462208,0,0.7032615357172052,0,77.0,NORMAL
74,L47253,L,299.0,309.1,1592.0,35.0,200.0,0,0,0,0,0,0,2026-01-01 01:14:00,10.100000000000023,5834.984755267443,7000.0,309.02666666666664,0.07988086367170476,1556.0,180.24546754753254,39.74,12.327831462646973,0.5200000000000002,0.0400000000000091,18.60514819848787,0,3.376563489459822,0,84.2,NORMAL
75,L47254,L,298.9,309.0,1601.0,32.3,202.0,0,0,0,0,0,0,2026-01-01 01:15:00,10.100000000000023,5415.299392674381,6524.599999999999,309.0199999999999,0.07745966692404832,1570.8666666666666,173.58895071266446,38.266666666666666,11.758077264263111,-6.6800000000000015,0.0,40.18717073867919,0,3.7766979699342804,0,65.8,WATCH
76,L47255,L,298.8,308.9,1379.0,46.7,204.0,0,0,0,0,0,0,2026-01-01 01:16:00,10.099999999999966,6743.878925877506,9526.800000000001,309.0066666666667,0.07988086367169457,1569.9333333333334,174.6479997295241,37.873333333333335,11.335435379291587,4.82,-0.02000000000000455,39.789861780466374,0,0.6104962423872541,0,66.2,WATCH
77,L47256,L,298.8,308.9,1461.0,47.9,206.0,0,0,0,0,0,0,2026-01-01 01:17:00,10.099999999999966,7328.487430808518,9867.4,309.0,0.08451542547275163,1561.2,176.72868632858848,38.519999999999996,11.628302910202704,0.4799999999999997,-0.0400000000000091,36.3601568608625,0,36.95841067382755,0,63.0,WATCH
78,L47257,L,298.8,308.9,1455.0,41.3,208.0,1,1,0,0,0,0,2026-01-01 01:18:00,10.099999999999966,6292.767164773035,8590.4,308.9933333333334,0.08837151016875561,1536.2666666666667,162.01828233111178,39.74666666666666,10.804157048275888,-0.6200000000000003,-0.0400000000000091,21.260162685122268,0,82.86408759921169,1,17.1,CRITICAL
79,L47258,L,298.8,308.9,1398.0,51.5,0.0,0,0,0,0,0,0,2026-01-01 01:19:00,10.099999999999966,7539.508209350145,0.0,308.9866666666667,0.09154754164331542,1508.6666666666667,146.1802540244978,41.45333333333333,10.477654226745507,3.3,-0.0400000000000091,28.415528956840774,0,0.4168052178775917,0,75.8,NORMAL
80,L47259,L,298.8,308.9,1402.0,37.9,2.0,0,0,0,0,0,0,2026-01-01 01:20:00,10.099999999999966,5564.367964087218,75.8,308.9733333333333,0.08837151016874673,1500.6,148.65050093616054,41.40666666666666,10.4928184057115,1.1200000000000003,-0.02000000000000455,22.261865789084137,0,0.4549291567705176,0,81.1,NORMAL
81,H29494,H,298.8,308.8,1445.0,49.9,4.0,0,0,0,0,0,0,2026-01-01 01:21:00,10.0,7550.870302780627,199.6,308.9533333333333,0.0915475416432941,1504.0,146.60734731149842,41.72666666666667,10.684933763192424,0.6399999999999991,-0.01999999999999318,16.444087951616424,0,0.3301000358368919,0,86.0,NORMAL
