udi,timestamp,product_id,product_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,temp_diff_k,power_watts,strain_index,failure_probability_pct,anomaly_score_pct,health_score,risk_tier,machine_failure
14,2026-01-01 00:14:00,M14873,M,298.6,309.2,1742.0,30.0,37.0,10.599999999999966,5472.6544025534195,1110.0,1.3843917568940693,53.9959856968513,54.1,WATCH,0
15,2026-01-01 00:15:00,L47194,L,298.6,309.2,2035.0,19.6,40.0,10.599999999999966,4176.85215270275,784.0,0.25425517282461585,76.10687168933417,35.3,WARNING,0
16,2026-01-01 00:16:00,L47195,L,298.6,309.2,1542.0,48.4,42.0,10.599999999999966,7815.528539894543,2032.8,1.5299830455606207,59.758574635136256,49.2,WARNING,0
17,2026-01-01 00:17:00,M14876,M,298.6,309.2,1311.0,46.6,44.0,10.599999999999966,6397.602111623327,2050.4,0.008868744532032657,46.01132904619486,60.9,WATCH,0
18,2026-01-01 00:18:00,M14877,M,298.7,309.2,1410.0,45.6,47.0,10.5,6733.0613751736455,2143.2000000000003,4.328887351670064,39.04265277885577,66.8,WATCH,0
19,2026-01-01 00:19:00,H29432,H,298.8,309.2,1306.0,54.5,50.0,10.399999999999977,7453.6380101520235,2725.0,0.01148146200679003,48.23177314383701,59.0,WATCH,0
20,2026-01-01 00:20:00,M14879,M,298.9,309.3,1632.0,32.5,55.0,10.400000000000034,5554.3358115467545,1787.5,0.4770342361808298,47.753511689226904,59.4,WATCH,0
21,2026-01-01 00:21:00,H29434,H,298.9,309.3,1375.0,42.7,58.0,10.400000000000034,6148.3586224630235,2476.6000000000004,0.016645459038820084,40.210508325002756,65.8,WATCH,0
22,2026-01-01 00:22:00,L47201,L,298.8,309.3,1450.0,44.8,63.0,10.5,6802.595292573099,2822.3999999999996,1.0803758952942932,21.635532921747817,81.6,NORMAL,0
23,2026-01-01 00:23:00,M14882,M,298.9,309.3,1581.0,30.7,65.0,10.400000000000034,5082.7513383163905,1995.5,1.0498705728387336,20.500940336521587,82.6,NORMAL,0
24,2026-01-01 00:24:00,L47203,L,299.0,309.4,1758.0,25.7,68.0,10.399999999999977,4731.3013681593,1747.6,0.7804630158219248,36.68142641026329,68.8,WATCH,0
25,2026-01-01 00:25:00,M14884,M,299.0,309.4,1561.0,37.3,70.0,10.399999999999977,6097.339157768725,2611.0,0.5434459381106373,5.593374874420061,95.2,NORMAL,0
26,2026-01-01 00:26:00,L47205,L,299.0,309.5,1861.0,23.3,73.0,10.5,4540.784717670103,1700.9,0.5686268366188185,37.04903137707996,68.5,WATCH,0
27,2026-01-01 00:27:00,L47206,L,299.1,309.5,1512.0,39.0,75.0,10.399999999999977,6175.114519896098,2925.0,0.5840624191465543,9.73261130322946,91.7,NORMAL,0
28,2026-01-01 00:28:00,H29441,H,299.1,309.4,1811.0,24.6,77.0,10.299999999999955,4665.327922433915,1894.2,0.515299591706684,25.472421262771146,78.3,NORMAL,0
29,2026-01-01 00:29:00,L47208,L,299.1,309.4,1439.0,44.2,82.0,10.299999999999955,6660.574360679816,3624.4,2.1064532346877987,10.235687082478536,91.3,NORMAL,0
30,2026-01-01 00:30:00,L47209,L,299.0,309.4,1693.0,30.1,84.0,10.399999999999977,5336.445417069278,2528.4,0.6427843629892572,7.048250212760827,94.0,NORMAL,0
31,2026-01-01 00:31:00,M14890,M,299.1,309.5,1339.0,48.2,86.0,10.399999999999977,6758.592051471818,4145.2,0.07672467375777048,19.36072781792688,83.5,NORMAL,0
32,2026-01-01 00:32:00,L47211,L,299.0,309.4,1798.0,25.5,89.0,10.399999999999977,4801.296052481282,2269.5,0.30644560606976134,18.338316697513275,84.4,NORMAL,0
33,2026-01-01 00:33:00,L47212,L,299.0,309.4,1419.0,48.3,91.0,10.399999999999977,7177.251160464705,4395.3,2.842588218310849,24.709168637646258,79.0,NORMAL,0
34,2026-01-01 00:34:00,L47213,L,298.9,309.3,1665.0,32.5,93.0,10.400000000000034,5666.647748912589,3022.5,0.17829612843385276,16.506618137508333,86.0,NORMAL,0
35,2026-01-01 00:35:00,M14894,M,298.8,309.1,1559.0,34.7,95.0,10.300000000000011,5665.056008634771,3296.5000000000005,0.17336954848335828,18.507027255168857,84.3,NORMAL,0
36,2026-01-01 00:36:00,M14895,M,298.8,309.2,1452.0,48.6,98.0,10.399999999999977,7389.7799034800555,4762.8,0.6259456167555667,20.50785692331037,82.6,NORMAL,0
37,2026-01-01 00:37:00,M14896,M,298.9,309.2,1581.0,36.7,101.0,10.300000000000011,6076.122935381484,3706.7000000000003,0.21169236964922,18.971591720296466,83.9,NORMAL,0
38,2026-01-01 00:38:00,L47217,L,298.8,309.1,1439.0,39.2,104.0,10.300000000000011,5907.115722593864,4076.8,0.6745704266321407,20.819489803993964,82.3,NORMAL,0
39,2026-01-01 00:39:00,H29452,H,298.9,309.2,1379.0,50.7,106.0,10.300000000000011,7321.51309511755,5374.200000000001,0.15891226308205483,14.945169953292023,87.3,NORMAL,0
40,2026-01-01 00:40:00,L47219,L,298.8,309.1,1350.0,52.5,111.0,10.300000000000011,7422.0126441058865,5827.5,0.12497071350065841,12.396449762788912,89.5,NORMAL,0
41,2026-01-01 00:41:00,L47220,L,298.8,309.1,1362.0,45.4,113.0,10.300000000000011,6475.325113873137,5130.2,0.056351873436209114,4.9088628284595055,95.8,NORMAL,0
42,2026-01-01 00:42:00,L47221,L,298.8,309.1,1368.0,50.8,115.0,10.300000000000011,7277.436550187683,5842.0,0.13244662851903027,10.158234701299955,91.4,NORMAL,0
43,2026-01-01 00:43:00,M14902,M,298.8,309.1,1368.0,49.1,117.0,10.300000000000011,7033.900287681403,5744.7,0.12402505537645853,14.598796770012784,87.6,NORMAL,0
44,2026-01-01 00:44:00,H29457,H,298.8,309.2,1372.0,48.5,120.0,10.399999999999977,6968.261945172401,5820.0,0.12806933142360563,17.607360860118703,85.0,NORMAL,0
45,2026-01-01 00:45:00,M14904,M,298.8,309.1,1472.0,47.5,125.0,10.300000000000011,7322.00527796661,5937.5,0.651449861328404,23.76348743190056,79.8,NORMAL,0
46,2026-01-01 00:46:00,L47225,L,298.8,309.1,1489.0,49.1,128.0,10.300000000000011,7656.050824822813,6284.8,0.48676819980197733,17.891496908507985,84.8,NORMAL,0
47,2026-01-01 00:47:00,M14906,M,298.7,309.0,1843.0,25.8,130.0,10.300000000000011,4979.36152408675,3354.0,0.20320141166415684,43.89725410005431,62.7,WATCH,0
48,2026-01-01 00:48:00,L47227,L,298.8,309.1,1418.0,46.3,133.0,10.300000000000011,6875.207970773071,6157.9,1.9803484947235477,19.550666578899783,83.4,NORMAL,0
49,2026-01-01 00:49:00,H29462,H,298.8,309.2,1425.0,53.9,135.0,10.399999999999977,8043.2625913532665,7276.5,1.119352584469362,40.04224838604172,66.0,WATCH,0
50,2026-01-01 00:50:00,M14909,M,298.9,309.2,1412.0,44.1,140.0,10.300000000000011,6520.815375497119,6174.0,1.594137033983949,44.632449720243734,62.1,WATCH,0
51,2026-01-01 00:51:00,L47230,L,298.9,309.1,2861.0,4.6,143.0,10.200000000000045,1378.1748092277942,657.8,98.97376889091908,99.99999465438661,1.0,CRITICAL,1
52,2026-01-01 00:52:00,L47231,L,298.9,309.1,1383.0,54.9,145.0,10.200000000000045,7951.025431043872,7960.5,1.139425302299502,69.5498547824667,40.9,WARNING,0
53,2026-01-01 00:53:00,H29466,H,298.8,309.0,1497.0,43.8,147.0,10.199999999999989,6866.327735538923,6438.599999999999,0.293271586569228,40.699080456044676,65.4,WATCH,0
54,2026-01-01 00:54:00,L47233,L,298.7,309.0,1565.0,35.1,152.0,10.300000000000011,5752.41322835559,5335.2,0.5136468448301703,47.56103775133611,59.6,WATCH,0
55,2026-01-01 00:55:00,L47234,L,298.7,309.0,1691.0,30.1,154.0,10.300000000000011,5330.141287811076,4635.400000000001,1.185758058378823,44.015699844944876,62.6,WATCH,0
56,2026-01-01 00:56:00,L47235,L,298.8,309.1,1512.0,40.7,156.0,10.300000000000011,6444.286178455672,6349.200000000001,0.2581272579703561,48.7045169424493,58.6,WATCH,0
57,2026-01-01 00:57:00,L47236,L,298.8,309.1,1477.0,42.4,158.0,10.300000000000011,6558.053720417668,6699.2,0.8645444023064988,35.22180415547642,70.1,WATCH,0
58,2026-01-01 00:58:00,L47237,L,298.8,309.1,1513.0,40.3,160.0,10.300000000000011,6385.171876690622,6448.0,0.8171349851810548,32.95909031107621,72.0,WATCH,0
59,2026-01-01 00:59:00,M14918,M,298.8,309.0,1661.0,29.5,162.0,10.199999999999989,5131.215640985769,4779.0,3.669916350324006,46.27208074892669,60.7,WATCH,0
60,2026-01-01 01:00:00,L47239,L,298.8,309.1,1378.0,54.4,165.0,10.300000000000011,7850.127946986078,8976.0,0.8098941709238323,70.06339585671586,40.4,WARNING,0
61,2026-01-01 01:01:00,L47240,L,298.8,309.1,1393.0,52.6,167.0,10.300000000000011,7673.004953176688,8784.2,1.6388746909772711,53.72368664401047,54.3,WATCH,0
62,2026-01-01 01:02:00,M14921,M,298.8,309.0,1592.0,38.2,169.0,10.199999999999989,6368.469075749038,6455.8,0.7775244192339273,29.810256836820866,74.7,WATCH,0
63,2026-01-01 01:03:00,L47242,L,298.8,309.0,1829.0,22.9,172.0,10.199999999999989,4386.092695407342,3938.7999999999997,1.239369677162936,56.99405429734114,51.6,WATCH,0
64,2026-01-01 01:04:00,M14923,M,298.9,309.0,1812.0,25.9,174.0,10.100000000000023,4914.581883569729,4506.599999999999,1.5713536742865482,61.872491694187445,47.4,WARNING,0
65,2026-01-01 01:05:00,L47244,L,299.0,309.1,1523.0,38.6,177.0,10.100000000000023,6156.244020023535,6832.2,1.1032134641990683,56.95676871009474,51.6,WATCH,0
66,2026-01-01 01:06:00,L47245,L,299.0,309.1,1394.0,45.1,179.0,10.100000000000023,6583.668172519938,8072.900000000001,2.2707633135101766,13.999612180755044,88.1,NORMAL,0
67,2026-01-01 01:07:00,M14926,M,298.9,308.9,1679.0,28.7,181.0,10.0,5046.162255877581,5194.7,1.4482686359008914,13.491313135882905,88.5,NORMAL,0
68,2026-01-01 01:08:00,H29481,H,298.8,308.9,1466.0,44.1,184.0,10.099999999999966,6770.195000339076,8114.400000000001,0.4407455855143578,10.725053674088478,90.9,NORMAL,0
69,2026-01-01 01:09:00,L47248,L,298.8,308.9,1527.0,32.4,189.0,10.099999999999966,5180.988940594142,6123.599999999999,1.5733647059954843,2.8668195965081007,97.6,NORMAL,0
70,2026-01-01 01:10:00,L47249,L,298.9,309.0,1410.0,65.7,191.0,10.100000000000023,9700.923955019924,12548.7,99.56588852424207,64.09155786065499,0.4,CRITICAL,1
71,2026-01-01 01:11:00,M14930,M,298.9,309.0,1924.0,22.6,193.0,10.100000000000023,4553.4662800150945,4361.8,2.111381870968767,43.29144201150773,63.2,WATCH,0
72,2026-01-01 01:12:00,L47251,L,298.9,309.1,1452.0,45.5,196.0,10.200000000000045,6918.415341735443,8918.0,0.5481529106393382,27.8528114080082,76.3,NORMAL,0
73,2026-01-01 01:13:00,L47252,L,298.9,309.1,1369.0,44.4,198.0,10.200000000000045,6365.243707291352,8791.199999999999,0.7032615357172052,27.004839640462208,77.0,NORMAL,0
74,2026-01-01 01:14:00,L47253,L,299.0,309.1,1592.0,35.0,200.0,10.100000000000023,5834.984755267443,7000.0,3.376563489459822,18.60514819848787,84.2,NORMAL,0
75,2026-01-01 01:15:00,L47254,L,298.9,309.0,1601.0,32.3,202.0,10.100000000000023,5415.299392674381,6524.599999999999,3.7766979699342804,40.18717073867919,65.8,WATCH,0
76,2026-01-01 01:16:00,L47255,L,298.8,308.9,1379.0,46.7,204.0,10.099999999999966,6743.878925877506,9526.800000000001,0.6104962423872541,39.789861780466374,66.2,WATCH,0
77,2026-01-01 01:17:00,L47256,L,298.8,308.9,1461.0,47.9,206.0,10.099999999999966,7328.487430808518,9867.4,36.95841067382755,36.3601568608625,63.0,WATCH,0
78,2026-01-01 01:18:00,L47257,L,298.8,308.9,1455.0,41.3,208.0,10.099999999999966,6292.767164773035,8590.4,82.86408759921169,21.260162685122268,17.1,CRITICAL,1
79,2026-01-01 01:19:00,L47258,L,298.8,308.9,1398.0,51.5,0.0,10.099999999999966,7539.508209350145,0.0,0.4168052178775917,28.415528956840774,75.8,NORMAL,0
80,2026-01-01 01:20:00,L47259,L,298.8,308.9,1402.0,37.9,2.0,10.099999999999966,5564.367964087218,75.8,0.4549291567705176,22.261865789084137,81.1,NORMAL,0
81,2026-01-01 01:21:00,H29494,H,298.8,308.8,1445.0,49.9,4.0,10.0,7550.870302780627,199.6,0.3301000358368919,16.444087951616424,86.0,NORMAL,0
82,2026-01-01 01:22:00,L47261,L,298.9,308.9,1450.0,47.5,9.0,10.0,7212.573133866567,427.5,0.5875200977580725,13.52344244317995,88.5,NORMAL,0
83,2026-01-01 01:23:00,L47262,L,298.9,308.9,1453.0,40.8,11.0,10.0,6208.038410905718,448.79999999999995,0.28926039868989467,11.088131241321316,90.6,NORMAL,0
84,2026-01-01 01:24:00,L47263,L,299.0,309.0,1469.0,40.1,13.0,10.0,6168.716142858287,521.3000000000001,0.20020178759293,16.009175265400895,86.4,NORMAL,0
85,2026-01-01 01:25:00,L47264,L,298.9,308.9,1422.0,47.6,15.0,10.0,7088.187008735435,714.0,2.9917875307756776,18.58091201503177,84.2,NORMAL,0
86,2026-01-01 01:26:00,M14945,M,299.0,309.0,1804.0,26.8,17.0,10.0,5062.906944721215,455.6,0.26796644358977695,46.0430987885144,60.9,WATCH,0
87,2026-01-01 01:27:00,H29500,H,299.0,309.0,1436.0,43.9,20.0,10.0,6601.575250645399,878.0,1.1636316070098895,22.04293099021151,81.3,NORMAL,0
88,2026-01-01 01:28:00,L47267,L,299.0,309.0,1544.0,31.8,25.0,10.0,5141.656200571199,795.0,0.28978704944926853,23.54691264782569,80.0,NORMAL,0
89,2026-01-01 01:29:00,M14948,M,299.0,309.0,1419.0,45.2,27.0,10.0,6716.599429668835,1220.4,10.878511559899682,24.40021234422045,79.3,NORMAL,0
90,2026-01-01 01:30:00,M14949,M,298.9,308.9,1487.0,39.5,30.0,10.0,6150.871896585897,1185.0,0.7650989050509085,27.13073925875863,76.9,NORMAL,0
91,2026-01-01 01:31:00,L47270,L,298.9,308.9,1753.0,25.8,33.0,10.0,4736.2022526989,851.4,0.19670118021867908,32.48404029129654,72.4,WATCH,0
92,2026-01-01 01:32:00,L47271,L,298.9,308.9,1830.0,24.9,35.0,10.0,4771.765081537536,871.5,0.3157445479826046,30.795123298061363,73.8,WATCH,0
93,2026-01-01 01:33:00,M14952,M,298.9,308.9,1727.0,27.1,37.0,10.0,4901.062563183781,1002.7,0.3759027490867148,23.7922654410825,79.8,NORMAL,0
94,2026-01-01 01:34:00,L47273,L,299.1,309.0,1450.0,43.0,40.0,9.899999999999977,6529.276731710787,1720.0,0.32459192291621686,4.534882901643427,96.1,NORMAL,0
95,2026-01-01 01:35:00,L47274,L,299.0,308.9,1622.0,31.9,42.0,9.899999999999977,5418.388625450411,1339.8,0.33398388369360626,9.645040867144695,91.8,NORMAL,0
96,2026-01-01 01:36:00,M14955,M,299.0,309.0,1351.0,52.2,44.0,10.0,7385.06751449967,2296.8,0.1948889570072296,32.40003630213638,72.5,WATCH,0
97,2026-01-01 01:37:00,M14956,M,299.0,309.0,1575.0,35.3,47.0,10.0,5822.156585265284,1659.1,0.28799902480677936,10.888188397848783,90.7,NORMAL,0
98,2026-01-01 01:38:00,M14957,M,298.9,308.9,1750.0,29.9,50.0,10.0,5479.4611866361965,1495.0,0.39641230318941806,27.87839179897006,76.3,NORMAL,0
99,2026-01-01 01:39:00,L47278,L,298.9,308.8,1529.0,32.7,53.0,9.900000000000034,5235.809732399286,1733.1000000000001,0.16757967233563378,22.648771108847065,80.7,NORMAL,0
100,2026-01-01 01:40:00,L47279,L,298.8,308.8,1523.0,44.4,55.0,10.0,7081.275504897538,2442.0,0.1780961846447861,9.690820764784123,91.8,NORMAL,0
101,2026-01-01 01:41:00,L47280,L,298.8,308.9,1852.0,25.0,57.0,10.099999999999966,4848.524662040247,1425.0,0.21425780777365946,44.97693712187251,61.8,WATCH,0
102,2026-01-01 01:42:00,L47281,L,298.8,308.8,1991.0,20.7,59.0,10.0,4315.888571575122,1221.3,0.37140263319101574,64.50268928314014,45.2,WARNING,0
103,2026-01-01 01:43:00,L47282,L,298.8,308.8,1555.0,40.6,61.0,10.0,6611.272299969481,2476.6,0.20943693119709594,28.31289878218925,75.9,NORMAL,0
104,2026-01-01 01:44:00,M14963,M,298.8,308.8,1441.0,40.5,63.0,10.0,6111.497268660904,2551.5,1.140749173260341,33.11588560848293,71.9,WATCH,0
105,2026-01-01 01:45:00,L47284,L,298.8,308.7,1450.0,43.4,66.0,9.899999999999977,6590.01418968019,2864.4,0.29009222952120306,25.83774648938689,78.0,NORMAL,0
106,2026-01-01 01:46:00,L47285,L,298.8,308.7,1591.0,31.1,68.0,9.899999999999977,5181.543955296277,2114.8,0.2824913512674483,34.33012679696997,70.8,WATCH,0
107,2026-01-01 01:47:00,L47286,L,298.8,308.7,1445.0,48.5,70.0,9.899999999999977,7339.022238173556,3395.0,0.3686396219134087,22.571872513165275,80.8,NORMAL,0
108,2026-01-01 01:48:00,M14967,M,298.8,308.8,1497.0,46.8,72.0,10.0,7336.624155781315,3369.6,0.5609603007610587,4.455342278448886,96.2,NORMAL,0
109,2026-01-01 01:49:00,H29522,H,298.9,308.8,1621.0,32.7,75.0,9.900000000000034,5550.848643701271,2452.5,0.4477709886348506,13.561874993436096,88.5,NORMAL,0
110,2026-01-01 01:50:00,L47289,L,298.9,308.7,1572.0,34.1,80.0,9.800000000000011,5613.523417140386,2728.0,0.3921252781277267,10.551219833665664,91.0,NORMAL,0
111,2026-01-01 01:51:00,L47290,L,298.8,308.6,1872.0,22.5,82.0,9.800000000000011,4410.79608564007,1845.0,0.3600130395556527,44.020130995982285,62.6,WATCH,0
112,2026-01-01 01:52:00,H29525,H,298.7,308.6,1499.0,43.5,84.0,9.900000000000034,6828.408712210095,3654.0,0.2486401396942459,13.513218195348845,88.5,NORMAL,0
113,2026-01-01 01:53:00,M14972,M,298.8,308.7,1498.0,39.5,89.0,9.899999999999977,6196.3726301853885,3515.5,0.23410426734374468,6.931637598229486,94.1,NORMAL,0
114,2026-01-01 01:54:00,M14973,M,298.8,308.6,1486.0,41.9,92.0,9.800000000000011,6520.208000917424,3854.7999999999997,0.3525518753833091,10.973024206431292,90.7,NORMAL,0
115,2026-01-01 01:55:00,L47294,L,298.8,308.6,1680.0,29.4,95.0,9.800000000000011,5172.318144870235,2793.0,0.4206243451129398,24.539364175077093,79.1,NORMAL,0
116,2026-01-01 01:56:00,L47295,L,298.8,308.6,1431.0,45.7,97.0,9.800000000000011,6848.326409633855,4432.900000000001,1.7603489262852927,14.158726251386536,88.0,NORMAL,0
117,2026-01-01 01:57:00,L47296,L,298.9,308.7,1564.0,34.1,99.0,9.800000000000011,5584.955867943743,3375.9,0.4579551094343452,13.11686417630751,88.9,NORMAL,0
118,2026-01-01 01:58:00,L47297,L,298.8,308.6,1599.0,33.0,101.0,9.800000000000011,5525.747318399087,3333.0,0.406794953661856,12.007909935134075,89.8,NORMAL,0
119,2026-01-01 01:59:00,M14978,M,298.8,308.6,1707.0,28.1,103.0,9.800000000000011,5023.0610778981845,2894.3,0.4005448484002496,24.31256025477587,79.3,NORMAL,0
120,2026-01-01 02:00:00,L47299,L,298.7,308.5,1467.0,40.7,106.0,9.800000000000011,6252.491946954015,4314.200000000001,0.4802524519908013,11.258093363878515,90.4,NORMAL,0
121,2026-01-01 02:01:00,L47300,L,298.9,308.7,1433.0,44.7,108.0,9.800000000000011,6707.834386165318,4827.6,2.9815764246397567,6.493124336126421,94.5,NORMAL,0
122,2026-01-01 02:02:00,L47301,L,298.9,308.7,1558.0,41.2,110.0,9.800000000000011,6721.919193228914,4532.0,0.6305341525008845,10.930549998337124,90.7,NORMAL,0
123,2026-01-01 02:03:00,L47302,L,299.0,308.8,1310.0,50.7,112.0,9.800000000000011,6955.171975782444,5678.400000000001,0.13214468585817607,26.83205744690576,77.2,NORMAL,0
124,2026-01-01 02:04:00,L47303,L,298.9,308.7,1546.0,43.4,114.0,9.800000000000011,7026.318577410739,4947.599999999999,0.29912500407611203,8.710002746022978,92.6,NORMAL,0
125,2026-01-01 02:05:00,L47304,L,298.9,308.7,1727.0,29.4,116.0,9.800000000000011,5317.019902494581,3410.3999999999996,0.746594759495335,23.492547041955813,80.0,NORMAL,0
126,2026-01-01 02:06:00,L47305,L,298.9,308.6,1560.0,32.2,118.0,9.700000000000045,5260.28273917075,3799.6000000000004,0.6881282414535099,16.506648104961016,86.0,NORMAL,0
127,2026-01-01 02:07:00,L47306,L,299.0,308.6,1329.0,60.5,120.0,9.600000000000023,8419.939550518684,7260.0,1.5305442266492348,39.18746597302953,66.7,WATCH,0
128,2026-01-01 02:08:00,L47307,L,298.9,308.6,1413.0,46.5,122.0,9.700000000000045,6880.559150259685,5673.0,2.053590982002258,5.797824893215266,95.1,NORMAL,0
129,2026-01-01 02:09:00,L47308,L,299.0,308.6,1587.0,38.6,124.0,9.600000000000023,6414.9437030711415,4786.400000000001,0.5321881273255346,0.45629783546111957,99.5,NORMAL,0
130,2026-01-01 02:10:00,L47309,L,298.9,308.5,1559.0,34.3,126.0,9.600000000000023,5599.75276934215,4321.799999999999,0.5150272370625186,7.101122049964298,94.0,NORMAL,0
131,2026-01-01 02:11:00,L47310,L,298.8,308.4,1473.0,41.1,128.0,9.599999999999966,6339.765390870739,5260.8,0.5972468687930302,4.8876135466553805,95.8,NORMAL,0
132,2026-01-01 02:12:00,L47311,L,298.8,308.4,1737.0,27.7,130.0,9.599999999999966,5038.580545606917,3601.0,0.35585675487062945,41.293107289286496,64.9,WATCH,0
133,2026-01-01 02:13:00,M14992,M,298.7,308.4,1441.0,43.2,132.0,9.699999999999989,6518.930419904966,5702.400000000001,0.6835132037940579,2.9379043370862257,97.5,NORMAL,0
134,2026-01-01 02:14:00,M14993,M,298.7,308.4,1430.0,49.6,135.0,9.699999999999989,7427.5627911272295,6696.0,0.9275472059436373,11.056899864103139,90.6,NORMAL,0
135,2026-01-01 02:15:00,L47314,L,298.8,308.4,1369.0,53.0,138.0,9.599999999999966,7598.151272217154,7314.0,0.4100745930441572,16.850460587185925,85.7,NORMAL,0
136,2026-01-01 02:16:00,M14995,M,298.8,308.5,1711.0,28.5,140.0,9.699999999999989,5106.501778777529,3990.0,0.6070135742321655,11.332140820802826,90.4,NORMAL,0
137,2026-01-01 02:17:00,H29550,H,298.7,308.5,1420.0,45.7,143.0,9.800000000000011,6795.683788735201,6535.1,1.9733718624222092,6.704117909534274,94.3,NORMAL,0
138,2026-01-01 02:18:00,L47317,L,298.7,308.6,1297.0,55.3,148.0,9.900000000000034,7510.93018817799,8184.4,0.3344003271199846,21.145146509591996,82.0,NORMAL,0
139,2026-01-01 02:19:00,H29552,H,298.8,308.6,1449.0,49.4,150.0,9.800000000000011,7495.902903318319,7410.0,0.5968448580385506,10.39646772193319,91.2,NORMAL,0
140,2026-01-01 02:20:00,L47319,L,298.8,308.6,1268.0,55.8,155.0,9.800000000000011,7409.383441638455,8649.0,0.11598014831550453,39.79372178417603,66.2,WATCH,0
141,2026-01-01 02:21:00,L47320,L,298.8,308.6,1511.0,36.1,157.0,9.800000000000011,5712.158954487593,5667.7,0.6172960200443303,17.26483205001825,85.3,NORMAL,0
142,2026-01-01 02:22:00,L47321,L,298.7,308.5,1544.0,35.2,159.0,9.800000000000011,5691.393027047366,5596.8,0.6048002032227286,10.077201476981411,91.4,NORMAL,0
143,2026-01-01 02:23:00,M15002,M,298.6,308.4,1778.0,28.2,161.0,9.799999999999955,5250.606633797693,4540.2,0.31160253354994033,37.81109054484097,67.9,WATCH,0
144,2026-01-01 02:24:00,H29557,H,298.6,308.4,1407.0,50.5,164.0,9.799999999999955,7440.705120394745,8282.0,1.56267367306675,20.0450965864419,83.0,NORMAL,0
145,2026-01-01 02:25:00,M15004,M,298.6,308.4,1391.0,42.4,169.0,9.799999999999955,6176.203605349342,7165.599999999999,0.8848855653215282,20.0248259669986,83.0,NORMAL,0
146,2026-01-01 02:26:00,L47325,L,298.5,308.4,1513.0,33.6,172.0,9.899999999999977,5323.61724706712,5779.2,0.35741123559614363,10.544442448099726,91.0,NORMAL,0
147,2026-01-01 02:27:00,H29560,H,298.5,308.4,1612.0,36.1,174.0,9.899999999999977,6093.977653629385,6281.400000000001,0.4918330713769024,12.362953057229687,89.5,NORMAL,0
148,2026-01-01 02:28:00,L47327,L,298.4,308.4,1515.0,40.1,179.0,10.0,6361.882203152011,7177.900000000001,0.7788648824747705,12.400915975393515,89.5,NORMAL,0
149,2026-01-01 02:29:00,M15008,M,298.3,308.3,1379.0,48.0,181.0,10.0,6931.61003088052,8688.0,0.16074900694802582,18.369804003159544,84.4,NORMAL,0
150,2026-01-01 02:30:00,L47329,L,298.4,308.3,1473.0,39.9,184.0,9.900000000000034,6154.662751721228,7341.599999999999,0.919360057526946,4.204320099004272,96.4,NORMAL,0
