product_id,product_type,timestamp,health_score,failure_probability_pct,anomaly_score_pct,risk_tier,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min
H29571,H,2026-01-01 02:38:00,65.4,34.63636526841191,21.527258648949548,WATCH,298.4,308.2,1478.0,43.5,206.0
H29580,H,2026-01-01 02:47:00,79.7,0.3129519702764236,23.89368856604381,NORMAL,298.4,308.2,1612.0,32.6,10.0
H29581,H,2026-01-01 02:48:00,86.8,0.2598752094236721,15.57037983038216,NORMAL,298.4,308.3,1458.0,42.9,15.0
H29595,H,2026-01-01 03:02:00,58.6,0.3873150770471183,48.748315410640586,WATCH,298.2,308.3,1824.0,24.2,49.0
H29606,H,2026-01-01 03:13:00,90.9,2.0484784576968353,10.758050111132029,NORMAL,298.2,308.4,1398.0,51.8,76.0
H29607,H,2026-01-01 03:14:00,95.8,0.24150772722067038,4.998236223546821,NORMAL,298.2,308.4,1678.0,34.6,81.0
H29610,H,2026-01-01 03:17:00,70.8,0.7994108426363173,34.39245388201033,WATCH,298.3,308.6,1432.0,49.5,91.0
H29626,H,2026-01-01 03:33:00,88.9,0.1653215662237144,13.09186422781293,NORMAL,298.4,308.7,1344.0,52.9,130.0
H29635,H,2026-01-01 03:42:00,83.5,0.2246710540498628,19.410384683609376,NORMAL,298.4,308.5,1827.0,24.3,153.0
H29680,H,2026-01-01 04:27:00,92.8,0.3557367835533165,8.485152122155178,NORMAL,298.0,308.1,1440.0,43.7,37.0
H29682,H,2026-01-01 04:29:00,70.1,0.41326041349165604,35.20259061482945,WATCH,297.9,308.0,1800.0,24.8,44.0
H29684,H,2026-01-01 04:31:00,90.1,0.3337130646137416,11.604823838826418,NORMAL,298.0,308.0,1520.0,39.6,51.0
H29691,H,2026-01-01 04:38:00,86.9,0.46388092360650857,15.425880154576548,NORMAL,298.0,308.0,1479.0,50.7,70.0
H29702,H,2026-01-01 04:49:00,71.0,2.4662555114469185,34.07617461098335,WATCH,298.2,308.4,1385.0,42.2,98.0
H29707,H,2026-01-01 04:54:00,90.3,4.334258705819863,11.418542810499805,NORMAL,298.1,308.5,1392.0,44.8,111.0
H29712,H,2026-01-01 04:59:00,45.3,0.20779759880684137,64.36710522519417,WARNING,297.9,308.5,2129.0,18.7,126.0
H29716,H,2026-01-01 05:03:00,92.9,0.3752684390539507,8.338835332460702,NORMAL,297.8,308.4,1512.0,35.1,138.0
H29724,H,2026-01-01 05:11:00,69.2,0.34458305110530635,36.27450126258035,WATCH,298.0,308.6,1526.0,41.8,160.0
H29734,H,2026-01-01 05:21:00,92.3,1.5976009113611207,9.09064596507936,NORMAL,297.8,308.4,1550.0,38.2,185.0
H29742,H,2026-01-01 05:29:00,79.0,1.392163989934376,24.681560590352678,NORMAL,297.6,308.4,1703.0,31.4,205.0
H29743,H,2026-01-01 05:30:00,64.2,7.4661592088816855,42.079594325894554,WATCH,297.7,308.5,1720.0,29.9,210.0
H29764,H,2026-01-01 05:51:00,63.7,1.0561296150789652,42.68821652998691,WATCH,297.6,308.3,1400.0,44.3,43.0
H29767,H,2026-01-01 05:54:00,74.7,0.5445320392061773,29.814954193622846,WATCH,297.5,308.3,1674.0,30.0,54.0
H29776,H,2026-01-01 06:03:00,67.9,0.8988040588090311,37.766467964247035,WATCH,297.6,308.3,1640.0,30.9,79.0
H29783,H,2026-01-01 06:10:00,88.1,0.4373886852908239,13.999762314658224,NORMAL,297.5,308.4,1587.0,36.1,98.0
H29812,H,2026-01-01 06:39:00,77.5,0.5675493875199308,26.436082221367712,NORMAL,297.4,308.3,1502.0,43.6,169.0
H29855,H,2026-01-01 07:22:00,89.4,2.2371178279876847,12.520482077288674,NORMAL,297.5,308.5,1393.0,46.6,56.0
H29857,H,2026-01-01 07:24:00,88.4,0.3380501672685876,13.643961408175487,NORMAL,297.4,308.5,1469.0,45.1,63.0
H29865,H,2026-01-01 07:32:00,91.8,1.890215026501723,9.612399588712533,NORMAL,297.5,308.6,1440.0,46.1,84.0
H29870,H,2026-01-01 07:37:00,89.1,0.6289991341027189,12.841943999376781,NORMAL,297.3,308.7,1478.0,47.6,98.0
H29874,H,2026-01-01 07:41:00,73.1,0.397673725468955,31.7046678216591,WATCH,297.3,308.6,1431.0,42.0,109.0
H29884,H,2026-01-01 07:51:00,60.9,0.2790908427587073,45.95244502230537,WATCH,297.3,308.8,1499.0,44.2,134.0
H29885,H,2026-01-01 07:52:00,55.8,1.2332638546012642,51.99955463188617,WATCH,297.3,308.8,1419.0,42.4,139.0
H29891,H,2026-01-01 07:58:00,47.9,0.5276618442845966,61.254104743330295,WARNING,297.4,309.0,1468.0,41.4,156.0
H29909,H,2026-01-01 08:16:00,59.0,0.6809931715107022,48.18243165147156,WATCH,297.5,309.3,1459.0,49.7,201.0
H29921,H,2026-01-01 08:28:00,70.2,0.30549812629862344,35.10052004060748,WATCH,297.8,309.4,1445.0,48.2,10.0
H29949,H,2026-01-01 08:56:00,70.3,1.0441804808347535,34.954947570289036,WATCH,297.4,309.3,1365.0,52.4,76.0
H29951,H,2026-01-01 08:58:00,90.2,0.09141078303775545,11.565109188566765,NORMAL,297.4,309.3,1516.0,43.0,83.0
H29957,H,2026-01-01 09:04:00,87.8,0.18646494945958716,14.380181539786301,NORMAL,297.5,309.3,1563.0,36.1,100.0
H29968,H,2026-01-01 09:15:00,83.9,0.09695852016945986,18.931851016904634,NORMAL,297.5,309.4,1368.0,45.3,129.0
H29978,H,2026-01-01 09:25:00,84.4,0.29526819953290606,18.311670195080353,NORMAL,297.6,309.6,1669.0,32.1,155.0
H29979,H,2026-01-01 09:26:00,74.2,0.5527466481418798,30.378468451478508,WATCH,297.7,309.7,1570.0,35.8,160.0
H29990,H,2026-01-01 09:37:00,59.0,0.41850323695390207,48.27767955060424,WATCH,297.7,309.7,1440.0,51.1,191.0
H29997,H,2026-01-01 09:44:00,76.8,4.867605821535799,27.29875642645596,NORMAL,297.7,309.6,1697.0,32.2,210.0
H29998,H,2026-01-01 09:45:00,66.9,4.614380780357812,38.95483772029768,WATCH,297.6,309.6,1419.0,48.2,215.0
H30001,H,2026-01-01 09:48:00,68.0,6.810634602398586,37.609532491249595,WATCH,297.6,309.5,1623.0,33.1,224.0
H30005,H,2026-01-01 09:52:00,53.4,10.084096384465134,54.79713658524004,WATCH,297.5,309.3,1525.0,41.7,235.0
H30006,H,2026-01-01 09:53:00,61.3,25.71363884412699,45.576823280994596,WATCH,297.5,309.5,1668.0,27.9,240.0
H30008,H,2026-01-01 09:55:00,58.9,0.03284670281346451,48.327520192773775,WATCH,297.6,309.6,1278.0,50.4,2.0
H30011,H,2026-01-01 09:58:00,76.8,0.3613326401059482,27.31823425459018,NORMAL,297.6,309.6,1428.0,46.6,13.0
H30013,H,2026-01-01 10:00:00,75.7,0.08239187339682444,28.587806035085407,NORMAL,297.7,309.7,1616.0,31.1,20.0
H30030,H,2026-01-01 10:17:00,74.7,0.48572218332619116,29.739730762245852,WATCH,298.1,309.9,1686.0,29.1,60.0
H30032,H,2026-01-01 10:19:00,75.2,3.239704214057356,29.214530589233462,NORMAL,298.2,310.0,1433.0,44.2,68.0
H30038,H,2026-01-01 10:25:00,89.9,0.2171486637729577,11.897633712591675,NORMAL,298.3,310.1,1509.0,37.6,85.0
H30046,H,2026-01-01 10:33:00,87.8,0.5392087230626066,14.301074485887153,NORMAL,298.3,310.0,1419.0,47.1,105.0
H30058,H,2026-01-01 10:45:00,54.2,0.20915176253420106,53.92992680620073,WATCH,297.7,309.4,1608.0,30.2,135.0
H30062,H,2026-01-01 10:49:00,62.5,0.4950051196063533,44.10581568281475,WATCH,297.7,309.3,1400.0,48.9,147.0
H30083,H,2026-01-01 11:10:00,92.6,2.097419216245023,8.690348901620165,NORMAL,297.5,308.9,1471.0,37.7,197.0
H30090,H,2026-01-01 11:17:00,75.5,0.7663787568185964,28.84078191547327,NORMAL,297.9,309.2,1577.0,34.7,5.0
H30096,H,2026-01-01 11:23:00,86.2,0.48647613101480647,16.27740946330343,NORMAL,297.8,309.0,1410.0,48.8,23.0
H30102,H,2026-01-01 11:29:00,81.8,0.415401647944861,21.466294093673117,NORMAL,297.6,309.0,1735.0,26.4,41.0
H30103,H,2026-01-01 11:30:00,87.4,1.3641191363143599,14.807135429271986,NORMAL,297.6,309.0,1354.0,55.6,46.0
H30104,H,2026-01-01 11:31:00,96.3,0.503508570048161,4.373886921071016,NORMAL,297.6,309.0,1413.0,40.2,51.0
H30113,H,2026-01-01 11:40:00,78.3,0.1698551860451402,25.577482087965574,NORMAL,297.5,308.7,1416.0,39.2,74.0
H30117,H,2026-01-01 11:44:00,92.0,0.23277485570321224,9.370225110103469,NORMAL,297.7,308.9,1479.0,40.9,87.0
H30130,H,2026-01-01 11:57:00,95.9,1.6141689101459882,4.855694296643529,NORMAL,297.4,308.6,1420.0,45.8,120.0
H30141,H,2026-01-01 12:08:00,87.5,0.2841719748859365,14.68268484814914,NORMAL,297.3,308.6,1499.0,37.6,147.0
H30148,H,2026-01-01 12:15:00,62.6,0.19119169797478275,44.02064792259059,WATCH,297.0,308.4,1305.0,54.6,168.0
H30151,H,2026-01-01 12:18:00,71.2,0.16203653276960592,33.887530816107294,WATCH,296.9,308.3,1474.0,39.2,177.0
H30162,H,2026-01-01 12:29:00,48.0,2.2838753833530308,61.16716089473957,WARNING,296.7,308.1,1528.0,46.3,203.0
H30169,H,2026-01-01 12:36:00,69.0,4.182004053747569,36.49030177678864,WATCH,296.8,308.1,1492.0,43.7,222.0
H30185,H,2026-01-01 12:52:00,41.5,0.37678617422112176,68.77656754188126,WARNING,296.8,308.0,1311.0,58.6,19.0
H30186,H,2026-01-01 12:53:00,58.1,0.32572808713955714,49.29755226872562,WATCH,296.8,308.0,1453.0,51.0,24.0
H30197,H,2026-01-01 13:04:00,78.7,0.14064983207998316,25.060019383962327,NORMAL,296.7,307.9,1579.0,33.4,50.0
H30208,H,2026-01-01 13:15:00,83.7,0.354005189799374,19.160873647733716,NORMAL,296.9,307.9,1547.0,32.6,79.0
H30217,H,2026-01-01 13:24:00,67.8,0.5159852647516519,37.93939997984124,WATCH,296.9,307.8,1549.0,37.8,104.0
H30248,H,2026-01-01 13:55:00,42.1,0.5054491829054983,68.07118597333084,WARNING,296.6,307.4,1333.0,50.2,177.0
H30252,H,2026-01-01 13:59:00,57.4,4.267891270288445,50.12450579992718,WATCH,296.6,307.4,1406.0,41.5,189.0
H30263,H,2026-01-01 14:10:00,49.2,0.28426890967702645,59.75196456551832,WARNING,296.4,307.4,1586.0,35.5,0.0
H30273,H,2026-01-01 14:20:00,43.2,0.14411114941116182,66.8641121783956,WARNING,296.2,307.0,1542.0,40.6,28.0
H30274,H,2026-01-01 14:21:00,32.1,0.2141828494616496,79.84081979816072,WARNING,296.1,306.9,1541.0,32.6,33.0
H30276,H,2026-01-01 14:23:00,42.3,0.16548838265422808,67.8967797668165,WARNING,296.1,306.8,1645.0,31.0,41.0
H30281,H,2026-01-01 14:28:00,20.6,0.15869713802618493,93.4654835730804,CRITICAL,295.9,306.5,1594.0,33.2,55.0
H30301,H,2026-01-01 14:48:00,15.0,0.44623479952471945,99.99999465438661,CRITICAL,295.7,306.2,2161.0,16.5,105.0
H30313,H,2026-01-01 15:00:00,36.4,0.24029040534716034,74.78406014750321,WARNING,295.6,306.2,1329.0,55.3,135.0
H30315,H,2026-01-01 15:02:00,15.0,0.7173024506548313,99.99999465438661,CRITICAL,295.6,306.1,1256.0,62.3,142.0
H30318,H,2026-01-01 15:05:00,30.5,0.3263263015808564,81.78873550655787,WARNING,295.7,306.2,1458.0,49.8,151.0
H30335,H,2026-01-01 15:22:00,54.8,8.659708128340547,53.14361276363201,WATCH,295.5,305.9,1593.0,37.2,197.0
H30339,H,2026-01-01 15:26:00,47.3,28.462848094798826,62.007613842358076,WARNING,295.6,306.1,1623.0,30.9,210.0
H30341,H,2026-01-01 15:28:00,42.6,1.0085957830652685,67.53640750981545,WARNING,295.6,306.0,1396.0,52.4,0.0
H30365,H,2026-01-01 15:52:00,57.1,0.11735878416329924,50.50784259653991,WATCH,295.6,306.3,1509.0,35.8,60.0
H30368,H,2026-01-01 15:55:00,53.4,0.2343729647039791,54.78861755147519,WATCH,295.6,306.2,1414.0,42.5,69.0
H30370,H,2026-01-01 15:57:00,61.2,0.18324479703629118,45.627540540139584,WATCH,295.6,306.2,1632.0,32.2,76.0
H30400,H,2026-01-01 16:27:00,57.7,3.153934476227671,49.764501823410825,WATCH,296.4,307.1,1638.0,32.5,146.0
H30402,H,2026-01-01 16:29:00,42.9,1.035367607787989,67.14352418904367,WARNING,296.3,307.1,1774.0,25.9,154.0
H30418,H,2026-01-01 16:45:00,66.1,2.305245852307113,39.824974685921866,WATCH,296.3,307.2,1424.0,42.0,196.0
H30447,H,2026-01-01 17:14:00,85.9,0.44489620581119793,16.603030842536405,NORMAL,296.4,307.5,1556.0,38.0,62.0
H30451,H,2026-01-01 17:18:00,63.8,0.3662267907063753,42.626972327057544,WATCH,296.4,307.5,1596.0,35.1,75.0
H30459,H,2026-01-01 17:26:00,68.8,2.7492299949708214,36.69662818627199,WATCH,296.4,307.5,1403.0,52.8,94.0
H30468,H,2026-01-01 17:35:00,80.3,0.6522542956420935,23.12866613412325,NORMAL,296.8,307.8,1627.0,30.5,117.0
H30474,H,2026-01-01 17:41:00,60.5,0.46271233723380495,46.4788243165566,WATCH,296.7,307.9,1424.0,53.8,133.0
H30489,H,2026-01-01 17:56:00,62.9,0.4145574277337169,43.596886227104505,WATCH,296.9,307.8,1345.0,54.5,172.0
H30492,H,2026-01-01 17:59:00,82.2,1.2039769244027279,20.95161534129339,NORMAL,296.9,307.7,1656.0,30.8,181.0
H30496,H,2026-01-01 18:03:00,78.9,2.8721830222292173,24.766988788303287,NORMAL,297.1,307.9,1420.0,39.8,192.0
H30501,H,2026-01-01 18:08:00,19.1,80.86238087598544,19.835033776977397,CRITICAL,296.9,307.8,1549.0,35.8,206.0
H30511,H,2026-01-01 18:18:00,56.6,0.8926783209354685,51.01594352862977,WATCH,296.9,307.5,1397.0,48.3,22.0
H30514,H,2026-01-01 18:21:00,46.6,0.1944932987715234,62.79050715531616,WARNING,296.8,307.5,1695.0,30.0,33.0
H30515,H,2026-01-01 18:22:00,56.7,0.2387203493817596,50.959162614569166,WATCH,296.7,307.5,1607.0,33.6,38.0
H30525,H,2026-01-01 18:32:00,70.0,0.7649700736876399,35.30539195557921,WATCH,296.5,307.4,1432.0,49.2,64.0
H30528,H,2026-01-01 18:35:00,80.9,0.24484018444708003,22.434472458893577,NORMAL,296.4,307.3,1540.0,37.4,75.0
H30534,H,2026-01-01 18:41:00,67.1,0.8941156457799819,38.677864197431376,WATCH,296.6,307.7,1654.0,31.0,91.0
H30537,H,2026-01-01 18:44:00,1.5,98.49974775003868,60.117911675226296,CRITICAL,296.6,307.7,1386.0,62.3,100.0
H30567,H,2026-01-01 19:14:00,70.5,0.649340894282345,34.66255115437306,WATCH,297.0,307.9,1448.0,45.6,172.0
H30569,H,2026-01-01 19:16:00,63.2,0.31615897312918395,43.27634633675674,WATCH,297.0,307.9,1846.0,27.3,179.0
H30570,H,2026-01-01 19:17:00,83.1,1.6420373327738096,19.850867439048354,NORMAL,297.0,307.8,1404.0,40.7,184.0
H30574,H,2026-01-01 19:21:00,60.4,1.038784352731122,46.53990919489591,WATCH,297.0,307.7,1834.0,23.8,195.0
H30585,H,2026-01-01 19:32:00,71.4,17.1607984336401,33.63641141906673,WATCH,297.0,308.1,1517.0,41.4,222.0
H30587,H,2026-01-01 19:34:00,44.1,55.933045534111145,30.02670176912253,WARNING,297.1,308.0,1559.0,38.8,229.0
H30594,H,2026-01-01 19:41:00,80.8,0.24366674518270054,22.58337703679828,NORMAL,297.3,308.4,1531.0,35.6,16.0
H30612,H,2026-01-01 19:59:00,55.5,0.06932500306060907,52.36877344853327,WATCH,296.9,307.9,1557.0,36.5,63.0
H30617,H,2026-01-01 20:04:00,79.0,4.005820342171458,24.673883554510056,NORMAL,297.0,308.1,1410.0,47.6,79.0
H30620,H,2026-01-01 20:07:00,65.7,0.05257299383990655,40.39142274102245,WATCH,296.9,308.0,1318.0,53.5,88.0
H30623,H,2026-01-01 20:10:00,26.3,2.1286767557949178,86.65711137331465,WARNING,297.0,308.1,2540.0,13.3,98.0
H30625,H,2026-01-01 20:12:00,75.9,2.9700062468687163,28.362914783554512,NORMAL,296.9,308.0,1416.0,46.9,105.0
H30639,H,2026-01-01 20:26:00,83.9,0.5472995028702671,18.915482154376033,NORMAL,297.1,308.3,1492.0,41.5,141.0
H30648,H,2026-01-01 20:35:00,15.0,0.4671113446468017,99.99999465438661,CRITICAL,297.2,308.5,2440.0,14.0,166.0
H30649,H,2026-01-01 20:36:00,75.2,0.8124786008336352,29.14447377749082,NORMAL,297.1,308.4,1654.0,31.4,171.0
H30650,H,2026-01-01 20:37:00,73.4,0.14403861565654347,31.312144098078516,WATCH,297.1,308.4,1359.0,46.6,176.0
H30653,H,2026-01-01 20:40:00,73.0,0.29887448423837293,31.73365707407462,WATCH,297.2,308.5,1482.0,39.3,187.0
H30660,H,2026-01-01 20:47:00,69.6,14.172085085580038,35.80281440209326,WATCH,297.2,308.5,1653.0,33.3,207.0
H30668,H,2026-01-01 20:55:00,72.9,2.3257771049150597,31.929960680318516,WATCH,297.5,308.8,1430.0,49.4,2.0
H30669,H,2026-01-01 20:56:00,68.6,1.0639981839268347,36.88591748503131,WATCH,297.5,308.9,1419.0,50.7,7.0
H30675,H,2026-01-01 21:02:00,61.6,0.2395869969595551,45.22053167419217,WATCH,297.6,309.0,1885.0,25.2,24.0
H30676,H,2026-01-01 21:03:00,75.3,0.4492827048688455,29.020329678901163,NORMAL,297.8,309.2,1648.0,33.0,29.0
H30685,H,2026-01-01 21:12:00,58.4,0.4335985351633322,48.92077415854633,WATCH,298.0,309.4,1490.0,40.5,53.0
H30686,H,2026-01-01 21:13:00,59.5,0.6168093451582257,47.664856830312644,WATCH,298.0,309.4,1562.0,38.1,58.0
H30688,H,2026-01-01 21:15:00,80.1,0.48663350634068747,23.443657642477227,NORMAL,298.1,309.5,1530.0,40.2,65.0
H30694,H,2026-01-01 21:21:00,88.8,0.8059033616112574,13.191581840030201,NORMAL,298.3,309.5,1521.0,37.1,84.0
H30695,H,2026-01-01 21:22:00,67.3,4.761236962455221,38.52032530794801,WATCH,298.3,309.5,1427.0,54.3,89.0
H30707,H,2026-01-01 21:34:00,89.7,0.5766222883228166,12.136730082322261,NORMAL,298.7,309.8,1582.0,33.4,121.0
H30736,H,2026-01-01 22:03:00,76.5,0.6063017523420438,27.656952357624515,NORMAL,298.9,310.1,1452.0,49.9,187.0
H30739,H,2026-01-01 22:06:00,76.1,1.0896112520544434,28.089476538361485,NORMAL,298.8,310.1,1567.0,36.8,197.0
H30743,H,2026-01-01 22:10:00,51.6,23.7753964461763,56.92423339972604,WATCH,298.8,310.2,1663.0,30.4,209.0
H30745,H,2026-01-01 22:12:00,66.2,33.30792611248285,39.797050695919424,WATCH,298.9,310.2,1771.0,26.8,216.0
H30751,H,2026-01-01 22:18:00,70.2,0.15103706769870917,35.09797886523833,WATCH,298.7,310.2,1613.0,36.0,0.0
H30774,H,2026-01-01 22:41:00,82.0,0.5198839899268936,21.159366565503746,NORMAL,298.8,310.2,1707.0,27.6,56.0
H30782,H,2026-01-01 22:49:00,75.8,0.22981606818048111,28.487536685393263,NORMAL,298.8,310.3,1708.0,27.1,78.0
H30792,H,2026-01-01 22:59:00,92.4,0.7248119876147461,8.924169263718584,NORMAL,298.8,310.2,1455.0,44.9,107.0
H30802,H,2026-01-01 23:09:00,90.7,0.5918754564125177,10.921366618829198,NORMAL,298.9,310.1,1491.0,45.3,133.0
H30814,H,2026-01-01 23:21:00,35.8,1.3587570393004413,75.51938161202474,WARNING,298.9,310.1,1366.0,62.7,161.0
H30815,H,2026-01-01 23:22:00,78.4,0.9004109528080508,25.390519735286475,NORMAL,298.9,310.2,1532.0,37.7,166.0
H30849,H,2026-01-01 23:56:00,80.5,0.4559739884516351,22.929807061866693,NORMAL,298.8,309.9,1526.0,42.1,30.0
H30850,H,2026-01-01 23:57:00,72.1,0.6518643588705995,32.79505993272366,WATCH,298.8,309.8,1510.0,44.2,35.0
H30851,H,2026-01-01 23:58:00,29.0,70.98354546496358,34.44661215207412,WARNING,298.8,309.9,1439.0,45.2,40.0
H30863,H,2026-01-02 00:10:00,50.0,2.153930504550136,58.810841192315756,WATCH,299.0,310.4,1677.0,30.8,73.0
H30909,H,2026-01-02 00:56:00,59.1,0.8819896041625033,48.153007505647786,WATCH,297.9,308.5,1383.0,44.6,184.0
H30926,H,2026-01-02 01:13:00,61.8,0.17998918805046532,44.966737995187714,WATCH,298.0,308.7,1503.0,36.3,5.0
H30932,H,2026-01-02 01:19:00,65.2,1.1208771217916778,40.904260265178905,WATCH,298.2,309.0,1371.0,55.7,23.0
H30936,H,2026-01-02 01:23:00,82.6,1.8904594571275488,20.524939195163075,NORMAL,298.2,309.0,1562.0,37.7,36.0
H30941,H,2026-01-02 01:28:00,87.8,1.7684862915639314,14.334318270876262,NORMAL,298.1,309.1,1425.0,44.5,49.0
H30945,H,2026-01-02 01:32:00,83.3,1.6492287081985788,19.66852705920589,NORMAL,298.1,309.0,1438.0,41.4,60.0
H30970,H,2026-01-02 01:57:00,85.1,0.9247185129866187,17.531960918325147,NORMAL,298.4,308.5,1398.0,47.1,122.0
H30996,H,2026-01-02 02:23:00,94.6,1.0140248099051012,6.375135955853073,NORMAL,298.1,308.3,1530.0,42.0,184.0
H31016,H,2026-01-02 02:43:00,67.4,0.19356902586584787,38.34654721015758,WATCH,297.8,307.9,1600.0,33.5,13.0
H31030,H,2026-01-02 02:57:00,85.7,0.399779944637934,16.79377379584627,NORMAL,297.8,307.8,1662.0,30.7,48.0
H31036,H,2026-01-02 03:03:00,84.8,0.3041671379987427,17.918883168753364,NORMAL,297.7,307.6,1538.0,38.3,63.0
H31048,H,2026-01-02 03:15:00,58.1,13.91393750015787,49.25822354402813,WATCH,297.9,307.9,1406.0,58.5,93.0
H31056,H,2026-01-02 03:23:00,79.2,1.8185536314075341,24.509468675276633,NORMAL,298.0,307.8,1588.0,35.4,114.0
H31063,H,2026-01-02 03:30:00,87.0,0.8871580639776807,15.343759115119793,NORMAL,298.0,307.9,1482.0,37.8,132.0
H31066,H,2026-01-02 03:33:00,84.5,1.686947052915792,18.252843728559913,NORMAL,297.9,307.8,1635.0,34.0,142.0
H31072,H,2026-01-02 03:39:00,79.7,0.39730284627076623,23.852380399577868,NORMAL,298.1,308.0,1570.0,35.3,159.0
H31076,H,2026-01-02 03:43:00,82.6,1.490197814038399,20.50413515666648,NORMAL,298.2,307.9,1462.0,45.5,171.0
H31079,H,2026-01-02 03:46:00,91.9,0.6265774671234717,9.543063302954732,NORMAL,298.2,307.9,1491.0,39.7,181.0
H31090,H,2026-01-02 03:57:00,60.6,29.640367467280456,46.39096555575849,WATCH,297.9,307.6,1418.0,43.0,207.0
H31096,H,2026-01-02 04:03:00,9.7,90.32759888554048,51.88452827062744,CRITICAL,297.9,307.4,1604.0,36.1,225.0
H31100,H,2026-01-02 04:07:00,57.9,0.5918954786939434,49.471105804165916,WATCH,297.9,307.3,1663.0,28.7,7.0
H31107,H,2026-01-02 04:14:00,52.7,0.4416594467769873,55.700740559255635,WATCH,298.0,307.5,1683.0,27.8,26.0
H31146,H,2026-01-02 04:53:00,65.6,0.776824722412542,40.49477185641398,WATCH,298.4,307.9,1700.0,28.2,120.0
H31152,H,2026-01-02 04:59:00,64.7,0.6820029078928592,41.57723667963075,WATCH,298.4,307.9,1948.0,21.4,136.0
H31153,H,2026-01-02 05:00:00,71.7,0.07801659866205868,33.27589747537258,WATCH,298.5,307.9,1260.0,54.2,141.0
H31162,H,2026-01-02 05:09:00,56.4,0.5099842522708954,51.24767588511288,WATCH,298.4,307.7,1626.0,31.1,166.0
H31173,H,2026-01-02 05:20:00,45.4,3.4829964299358958,64.2301512425251,WARNING,298.0,307.4,1606.0,35.2,195.0
H31176,H,2026-01-02 05:23:00,56.6,14.916163573003855,51.06375565688731,WATCH,298.2,307.6,1460.0,48.6,204.0
H31178,H,2026-01-02 05:25:00,45.2,0.271058689489445,64.43763159934024,WARNING,298.2,307.6,1318.0,55.7,0.0
H31184,H,2026-01-02 05:31:00,50.4,0.573651123616776,58.31730176974936,WATCH,298.4,307.9,1605.0,31.0,18.0
H31191,H,2026-01-02 05:38:00,78.9,0.6276905617648791,24.80311531836659,NORMAL,298.6,308.2,1555.0,36.8,36.0
H31197,H,2026-01-02 05:44:00,92.1,0.17918850443682188,9.276438485802045,NORMAL,298.3,308.0,1553.0,41.0,52.0
H31210,H,2026-01-02 05:57:00,51.7,0.5353718664337657,56.82939131316487,WATCH,298.1,307.6,1542.0,37.1,84.0
H31216,H,2026-01-02 06:03:00,85.6,0.5606480569343089,16.997439588539276,NORMAL,298.1,307.6,1496.0,44.1,104.0
